ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
608|Wehrbein for Legislature|98 1st General Campaign Statement|1998-10-05|1998-10-07|$20.00|REDUCED|$0.00|1998-11-23||Wehrbein|Roger|
609|Elwell for the 24th Legislative District|98 1st General Campaign Statement|1998-10-05|1998-10-16|$110.00|REDUCED|$0.00|1998-11-24||Elwell|Robert|
610|Joe Yocum for Seward County Sheriff|98 1st General Campaign Statement|1998-10-05|1998-10-15|$100.00|PAID|$0.00|1998-11-13||Yocum|Joe|
611|Jacquelyn Stewart for Clerk of District Court|98 1st General Campaign Statement|1998-10-05|1998-10-15|$100.00|REDUCED|$0.00|1998-11-23||Stewart|Jacquelyn|
612|Citizens to Elect Blankenship for Clerk of District Court|98 1st General Campaign Statement|1998-10-05|1998-10-13|$80.00|PAID|||1999-01-22|Blankenship|Jason|
613|Nebraska Right to Life PAC|98 1st General Campaign Statement|1998-10-05|1998-10-16|$110.00|PAID|||1998-11-13|||
614|Committee to Elect Derek Mitchell|98 1st General Campaign Statement|1998-10-05|1998-10-13|$80.00|PAID|||1999-02-01|Mitchell|Derek|
615|Omaha Education Association|98 2nd General Campaign Statement|1998-10-26|1998-10-28|$20.00|PAID|||1998-11-25|||
616|Werner Enterprises, Inc. PAC|98 1st General Campaign Statement|1998-10-05|1998-10-16|$110.00|PAID|||1998-11-09|||
617|Committee to Elect Kip Murphy|98 2nd General Campaign Statement|1998-10-26|1998-10-27|$10.00|REDUCED|$0.00|1998-11-10||Murphy|Kip|
618|Friends for John Bartels|Statement of Organization|1998-10-26|1998-10-28|$20.00|REDUCED|$0.00|1998-12-07||Bartels|John|
619|Friends for John Bartels|98 2nd General Campaign Statement|1998-10-26|1998-10-30|$40.00|REDUCED|$0.00|1998-12-08||Bartels|John|
620|Mary Ann Borgeson for County Board|98 1st General Campaign Statement|1998-10-05|1998-10-08|$30.00|REDUCED|$0.00|1998-12-23||Borgeson|Mary Ann|
621|Mary Ann Borgeson for County Board|98 2nd General Campaign Statement|1998-10-26|1998-10-28|$20.00|REDUCED|$0.00|1998-12-23||Borgeson|Mary Ann|
622|Buschkoetter for City Council|98 1st General Campaign Statement|1998-10-05|1998-10-09|$40.00|REDUCED|$0.00|1998-12-16||Buschkoetter|Randy|
759|Julie Haney for County Treasurer|98 Post General Campaign Statement|1999-01-04|1999-01-14|$100.00|REDUCED|$0.00|1999-02-10||Haney|Julie|
760|Rod Johnson for PSC|98 Post General Campaign Statement|1999-01-04|1999-01-12|$80.00|PAID|||1999-02-25|Johnson|Rod|
761|Independent Insurance Agents of Nebraska PAC|98 1st General Campaign Statement|1998-10-05|1998-10-07|$20.00|REDUCED|$0.00|1999-03-11||||
762|Pam Brown for Legislature|98 Post General Campaign Statement|1999-01-04|1999-01-26|$220.00|PAID|||1999-03-22|Brown|Pam|
764|Dunning for Sheriff|98 Post General Campaign Statement|1999-01-04|1999-01-15|$110.00|REDUCED|$0.00|1999-02-12||||
765|Dave Maurstad for Lt. Governor|Report of Late Contribution|1998-11-04|1999-01-04|$1500.00|RED/PAID|$20.00|1999-03-10|1999-03-09|Maurstad|Dave|
766|Dave Maurstad for Lt. Governor|Report of Late Contribution|1998-11-04|1999-01-04|$1500.00|REDUCED|$0.00|1999-03-10||Maurstad|Dave|
767|Friends of Libraries and Parks|1998 Post General B-1|1999-01-04|1999-01-07|$30.00|PAID|||1999-03-03|Shively|David|
768|Elwell for the 24th Legislative District|1998 Post General B-1|1999-01-04|1999-01-06|$20.00|PAID|||1999-09-01|Elwell|Robert|
769|Avery for Legislature|1999 CFLA-1|1999-01-04|1999-01-29|$250.00|REDUCED|$0.00|1999-03-03||Avery|Michael|
770|Moore for Secretary of State|1998 Post General B-1|1999-01-04|1999-01-06|$20.00|PAID|||1999-02-26|Moore|Scott|
771|Pirsch for Legislature|1998 Annual Campaign Statement|1999-02-01|1999-02-03|$20.00|REDUCED|$0.00|1999-02-24||McBride Pirsch|Carol|
772|Mike Johanns for Governor|Report of Late Contribution|1998-11-02|1999-01-04|$1500.00|RED/PAID|$10.00|1999-04-01|1999-04-01|Johanns|Mike|
775|Richardson County Republicans|1998 Post General Campaign Statement|1999-01-04|1999-02-10|$300.00|REDUCED|$0.00|1999-07-02||Sailors|Jean|
776|Friends for John Bartels|98 Post General Campaign Statement|1999-01-04|1999-01-14|$100.00|RED/PAID|$10.00|1999-03-29|1999-03-29|Bartels|John|
777|Citizens to Elect Blankenship Clerk of the District Court|98 Post General Campaign Statement|1999-01-04|1999-02-22|$300.00|PAID|||1999-05-11|Blankenship|Jason|
778|Citizens to Elect Blankenship Clerk of the District Court|Report of Late Contribution|1998-11-03|1998-11-05|$150.00|PAID|||1999-07-22|Blankenship|Jason|
779|Dodge County Democratic Party|98 Post General Campaign Statement|1999-01-04|1999-01-12|$80.00|RED/PAID|$10.00|1999-04-12|1999-04-06|||
780|Hahn for State Auditor|Report of Late Contribution|1998-10-26|1999-01-04|$1500.00|REDUCED|$0.00|1999-03-15||Hahn|Kandra|
782|Friends of Deb Houghtaling Sarpy County Clerk|98 Post General Campaign Statement|1999-01-04|1999-01-06|$20.00|REDUCED|$0.00|1999-03-25||Houghtaling|Deb|
783|The Price is Right for Education|98 Annual Campaign Statement|1999-02-01|1999-02-16|$150.00|REDUCED|$0.00|1999-03-25||Price|Marion|
784|Vote On Total Equity|98 Annual Campaign Statement|1999-02-01|1999-02-25|$240.00|REDUCED|$0.00|1999-04-01||||
785|Vote On Total Equity|99 1st Special Election Campaign Statement|1999-02-22|1999-02-25|$30.00|RED/PAID|$10.00|1999-04-01|1999-04-01|||
786|Pat Knapp for Attorney General Committee|Report of Late Contribution|1998-10-26|1999-01-03|$1500.00|REDUCED|$0.00|1999-03-01||Knapp|Pat|
787|Mele Mason for School Board|98 Post General Campaign Statement|1999-01-04|1999-01-08|$40.00|PAID|||1999-01-08|Mason|Mele|
788|Linda Poole for Millard School Board|98 Annual Campaign Statement|1999-02-01|1999-02-05|$40.00|REDUCED|$0.00|1999-03-01||Poole|Linda|
790|Hoppe for County Board|Report of Late Contribution|1998-10-26|1999-01-05|$1500.00|REDUCED|$0.00|1999-04-08||Hoppe|Richard|
791|Cheryl McDuffie for Box Butte County Clerk|98 Post General Campaign Statement|1999-01-04|1999-01-15|$110.00|REDUCED|$0.00|1999-03-11||McDuffie|Cheryl|
792|Nebraska Association of Trial Attorneys PAC (NATA)|98 1st General Campaign Statement|1998-10-05|1998-10-07|$20.00|PAID|||1999-03-23|||
793|Nebraska Action Committee for Rural Electrification (ACRE)|98 Post General Campaign Statement|1999-01-04|1999-01-06|$20.00|REDUCED|$0.00|1999-03-10||||
794|Nebraska Farm Bureau Federation PAC|98 Post General Campaign Statement|1999-01-04|1999-01-06|$20.00|PAID|||1999-03-17|||
795|Steinman for County Commissioner|98 Post General Campaign Statement|1999-01-04|1999-01-06|$20.00|REDUCED|$0.00|1999-03-11||Steinman|Linda|
796|Committee to Elect Paul Anderson|98 1st General Campaign Statement|1998-10-05|1998-10-19|$140.00|PAID|||1999-03-25|Anderson|Paul|
797|Committee to Elect Paul Anderson|98 2nd General Campaign Statement|1998-10-26|1998-11-03|$80.00|PAID|||1999-03-25|Anderson|Paul|
798|Committee to Elect Paul Anderson|98 Post General Campaign Statement|1999-01-04|1999-02-08|$300.00|PAID|||1999-03-25|Anderson|Paul|
799|Dakota County Democratic Party|98 Post General Campaign Statement|1999-01-04|1999-01-06|$20.00|PAID|||1999-04-07|||
800|Edwards for City Council|99 1st Primary Campaign Statement|1999-03-08|1999-03-10|$20.00|REDUCED|$0.00|1999-04-08||Edwards|Paul|
801|Evans for Education|99 1st Primary Campaign Statement|1999-03-08|1999-03-12|$40.00|PAID|||1999-11-08|Evans|Doug|
802|Jansen for County Attorney|98 Post General Campaign Statement|1999-01-04|1999-01-06|$20.00|PAID|||1999-04-07|Jansen|James|
803|Lonnie Michael for School Board|98 Post General Campaign Statement|1999-01-04|1999-01-13|$90.00|RED/PAID|$10.00|1999-07-09|1999-07-09|Michael|Lonnie|
804|Otoe County Democratic Committee|98 Post General Campaign Statement|1999-01-04|1999-01-11|$70.00|REDUCED|$0.00|1999-11-01||Otoe||
807|Bob Stephens for City Council|99 1st Primary Campaign Statement|1999-03-08|1999-03-09|$10.00|PAID|||1999-03-25|Stephens|Bob|
808|David Woodke for 66 School Board|98 Annual Campaign Statement|1999-02-01|1999-02-16|$150.00|REDUCED|$0.00|1999-05-17||Woodke|David|
809|First National Bank of Omaha PAC|98 Post General Campaign Statement|1999-01-04|1999-01-07|$30.00|PAID|||1999-03-29|||
810|Saunders County Republican Central Committee|98 2nd General Campaign Statement|1998-10-26|1999-02-25|$300.00|REDUCED|$0.00|1999-03-25||||
811|Saunders County Republican Committee|98 Post General  Campaign Statement|1999-01-04|1999-02-25|$300.00|REDUCED|$0.00|1999-03-25||||
812|Committee to Elect Rick Campbell|98 2nd General Campaign Statement|1998-10-26|1998-10-28|$20.00|REDUCED|$0.00|1999-03-25||Campbell|Rick|
813|Committee to Elect Rick Campbell|98 Post General Campaign Statement|1999-01-04|1999-01-11|$70.00|REDUCED|$0.00|1999-03-25||Campbell|Rick|
814|Aliant Communications PAC|98 Post General Campaign Statement|1999-01-04|1999-01-07|$30.00|REDUCED|$0.00|1999-03-25||||
815|Brandt for Mayor|Report of Late Contribution|1998-11-02|1998-12-31|$1500.00|REDUCED|$0.00|1999-04-08||Brandt|Donnie|
816|Horner for Sheriff|98 Post General Campaign Statement|1999-01-04|1999-01-06|$20.00|PAID|||1999-05-27|Horner|Terry|
817|Lancaster County Democratic Party|98 Post General Campaign Statement|1999-01-04|1999-01-29|$250.00|PAID|||1999-04-29|||
818|Dan Pittman for Assessor|98 Post General Campaign Statement|1999-01-04|1999-01-14|$100.00|REDUCED|$0.00|1999-03-25||Pittman|Dan|
819|Dan Pittman for Assessor|Report of Late Contribution|1998-11-02|1999-01-14|$1500.00|REDUCED|$0.00|1999-03-25||Pittman|Dan|
950|Committee to Elect Jerry Ryan|99 Annual Campaign Statement|2000-01-31|2000-02-15|$375.00|REDUCED|$0.00|2000-03-21||Ryan|Jerry|
951|Gage County Democratic Party|99 Annual Campaign Statement|2000-01-31|2000-02-11|$275.00|REDUCED|$0.00|2000-04-05||||
952|Dan Pittman for Assessor|99 Annual Campaign Statement|2000-01-31|2000-02-02|$50.00|RED/PAID|$25.00|2000-05-22|2000-05-22|Pittman|Dan|
953|Ear, Nose, and Throat Specialties, PC|Report of Earmarked Contribution|1999-07-23|2000-03-08|$300.00|REDUCED|$0.00|2000-03-20||||
954|Sarpy County Republican Party|99 Post Special Election Campaign Statement|1999-12-13|2000-01-24|$750.00|REDUCED|$0.00|2000-04-19||||
955|James Anderson for PSC|99 Annual Campaign Statement|2000-01-31|2000-03-08|$750.00|REDUCED|$0.00|2000-03-24||Anderson|James|
956|NRA Political Victory Fund|99 Annual Campaign Statement|2000-01-31|2000-02-16|$400.00|PAID|||2000-03-27|||
957|Meier for School Board|99 Annual Campaign Statement|2000-01-31|2000-03-17|$750.00|REDUCED|$0.00|2000-03-27||Meier|Bill|
958|A Lot of Folks for Brenda Council for Mayor|99 Annual Campaign Statement|2000-01-31|2000-03-29|$750.00|PAID|||2000-03-29|Council|Brenda|
959|Raines for Airport Authority|99 Annual Campaign Statement|2000-01-31|2000-03-23|$750.00|REDUCED|$0.00|2000-05-25||Raines|Edwards|
960|Lonnie Michael for School Board|99 Annual Campaign Statement|2000-01-31|2000-03-24|$750.00|REDUCED|$0.00|2000-09-19||Michael|Lonnie|
961|UNO Faculty PAC|99 Annual Campaign Statement|2000-01-31|2000-03-23|$750.00|REDUCED|$0.00|2000-07-25||||
962|Dodge County Republican Party|99 Annual Campaign Statement|2000-01-31|2000-03-22|$750.00|REDUCED|$0.00|2000-04-19||||
963|Edquist for OPPD|99 Annual Campaign Statement|2000-01-31|2000-03-23|$600.00|PAID|||2000-12-27|Edquist|Keith|
964|Citizens for North Platte's Future|Report of Late Contribution|2000-04-03|2000-04-12|$900.00|REDUCED|$0.00|2000-05-17||||
965|Nebraskans for Limited Terms|March Report|2000-03-31|2000-04-04|$100.00|PAID|||2000-05-01|||
966|Raikes for Legislature|2000 1st Primary Campaign Statement|2000-04-10|2000-04-12|$50.00|REDUCED|$0.00|2000-05-10||Raikes|Ron|
967|Mike Foley|CFLA-1|2000-04-24|2000-04-26|$20.00|REDUCED|$0.00|2000-04-27||Foley|Mike|
968|Charles Maxwell|CFLA-1|2000-03-30|2000-04-27|$700.00|REDUCED|$0.00|2000-05-18||Maxwell|Charles|
969|Charles Meyer|CFLA-1|2000-04-24|2000-04-26|$50.00|REDUCED|$0.00|2000-06-23||Meyer|Charles|
970|Committee to Elect Ann Rosenberry|99 Annual Campaign Statement|2000-01-31|2000-03-10|$750.00|REDUCED|$0.00|2001-04-09||Rosenberry|Ann|
971|Jones for Legislature|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-08|$175.00|REDUCED|$0.00|2000-05-18||Jones|Jim|
972|Maxwell for Legislature|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-05|$100.00|PAID|||2000-06-28|Maxwell|Chip|
973|Patton 2000 Legislature Committee|2000 1st Primary Campaign Statement|2000-04-10|2000-05-08|$700.00|REDUCED|$0.00|2000-08-10||Patton|Doug|
974|Patton 2000 Legislature Committee|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-08|$175.00|REDUCED|$0.00|2000-08-10||Patton|Doug|
975|Carol McBride Pirsch for Douglas County Board|2000 1st Primary Campaign Statement|2000-04-10|2000-04-19|$225.00|RED/PAID|$25.00|2000-05-18|2000-05-18|McBride Pirsch|Carol|
976|Citizens for Helen Griffin|2000 Exemption Statement|2000-04-10|2000-04-20|$225.00|REDUCED|$0.00|2000-04-27||Griffin|Helen|
977|Elwell for the 24th Legislative District|99 Annual Campaign Statement|2000-01-31|2000-03-09|$750.00|REDUCED|$0.00|2000-05-09||Elwell|Robert|
978|Nebraskans for Jon Christensen Committee|99 Annual Campaign Statement|2000-01-31|2000-03-21|$750.00|REDUCED|$0.00|2000-05-10||Christensen|Jon|
979|NAPE-AFSCME People|2000 1st Primary Campaign Statement|2000-04-10|2000-04-21|$275.00|REDUCED|$0.00|2000-05-10||||
980|Tyson for Legislature|2000 1st Primary Campaign Statement|2000-04-10|2000-04-17|$175.00|RED/PAID|$25.00|2000-05-31|2000-05-31|Tyson|Gene|
981|Ramon Janssen for State Legislature|2000 1st Primary Campaign Statement|2000-04-10|2000-04-11|$25.00|REDUCED|$0.00|2000-06-19||Janssen|Ramon|
982|Tessman for Legislature 2000|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-04|$75.00|REDUCED|$0.00|2000-06-07||Tessman|Brian|
983|Alan Sydow|Report of Independent Expenditure|2000-04-17|2000-05-11|$600.00|REDUCED|$0.00|2000-05-17||||
984|Alan Sydow|Report of Independent Expenditure|2000-05-01|2000-05-11|$250.00|REDUCED|$0.00|2000-05-17||||
985|Alan Sydow|Report of Independent Expenditure|2000-05-08|2000-05-11|$75.00|REDUCED|$0.00|2000-05-17||||
986|Paul Edwards|CFLA-1|2000-04-10|2000-04-26|$400.00|REDUCED|$0.00|2000-06-14||Edwards|Paul|
987|Erdman for Legislature|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-03|$50.00|REDUCED|$0.00|2000-05-25||Erdman|Philip|
988|NE Petroleum PAC|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-17|$400.00|PAID|||2000-07-18|||
989|Urwiller for Public Office|99 Annual Campaign Statement|2000-01-31|2000-04-24|$750.00|PAID|||2000-05-23|Urwiller|Dan|
990|Takechi for Register of Deeds|2000 1st Primary Campaign Statement|2000-04-10|2000-05-15|$750.00|PAID|||2000-06-12|Takechi|Richard|
991|Takechi for Register of Deeds|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-15|$350.00|PAID|||2000-06-12|Takechi|Richard|
992|Seldin Company|Report of Earmarked Contribution|2000-05-15|2000-05-19|$100.00|REDUCED|$0.00|2000-06-22||||
993|Seldin Company|Report of Earmarked Contribution|2000-05-15|2000-05-19|$100.00|REDUCED|$0.00|2000-06-22||||
994|Seldin Company|Report of Earmarked Contribution|2000-05-15|2000-05-19|$100.00|REDUCED|$0.00|2000-06-22||||
995|Burling for Legislature|Report of Late Contribution|2000-05-08|2000-05-15|$700.00|REDUCED|$0.00|2000-05-25||Burling|Carroll|
996|Burling for Legislature|Report of Late Contribution|2000-05-08|2000-05-15|$700.00|REDUCED|$0.00|2000-05-25||Burling|Carroll|
997|Jim Johnson for School Board|99 Post General Campaign Statement|1999-06-14|2000-04-21|$300.00|REDUCED|$0.00|2000-06-22||Johnson|Jim|
998|Nuckolls County Democrats|99 Annual Campaign Statement|2000-01-31|2000-05-22|$750.00|REDUCED|$0.00|2000-08-15||||
999|Neighbors for Responsible Government|2000 2nd Special Campaign Statement|2000-05-01|2000-05-25|$600.00|PAID|||2000-07-03|||
1000|Tessman for Legislature 2000|Statement of Organization|2000-05-08|2000-06-02|$625.00|REDUCED|$0.00|2000-06-07||Tessman|Brian|
1001|John Sieler for Register of Deeds|2000 2nd Primary Campaign Statement|2000-04-10|2000-04-14|$100.00|PAID|||2002-12-27|Sieler|John|
1002|Committee for Better Jobs & Safer Neighborhoods|Statement of Organization|2000-03-31|2000-06-08|$750.00|REDUCED|$0.00|2000-08-07||||
1005|First National Bank of Omaha PAC|2000 1st Primary Campaign Statement|2000-04-10|2000-04-12|$50.00|REDUCED|$0.00|2000-07-10||||
1006|Blankenship for Council Committee|2000 1st Primary Campaign Statement|2000-04-10|2000-04-24|$350.00|REDUCED|$0.00|2000-06-14||Blankenship|Bruce|
1007|State Troopers Association of Nebraska, Inc. PAC|2000 2nd Primary Campaign Statement|2000-05-01|2000-05-03|$50.00|PAID|||2000-06-30|||
1008|Johnson for Regent|Statement of Organization|2000-03-09|2000-06-01|$600.00|REDUCED|$0.00|2000-06-30||Johnson|Jeff|
1012|Jeff Johnson|CFLA-1|2000-03-09|2000-06-08|$750.00|REDUCED|$0.00|2000-06-30||Johnson|Jeff|
1013|Committee to Elect Bev Peterson|2000 2nd Primary Campaign Statement|2000-04-10|2000-06-12|$750.00|REDUCED|$0.00|2000-06-26||||
1015|Metro Right to Life PAC|2000 Post Primary Campaign Statement|2000-06-19|2000-06-26|$175.00|PAID|||2000-07-26|||
1016|Maxwell for Legislature|2000 Post Primary Campaign Statement|2000-06-19|2000-06-29|$250.00|PAID|||2000-08-01|Maxwell|Charles|
1017|Kruse for Legislature|Report of Late Contribution|2000-05-08|2000-06-19|$3000.00|REDUCED|$0.00|2000-07-10||Kruse|Lowen|
1018|Elect Matt Montag|2000 Post Primary Election Campaign Statement|2000-06-19|2000-06-28|$225.00|PAID|||2000-07-24|||
1019|Elect Matt Montag|Report of Late Contribution|2000-05-08|2000-05-10|$200.00|PAID|||2000-07-24|||
1020|Quandahl for Legislature|2000 Post Primary Campaign Statement|2000-06-19|2000-06-23|$100.00|PAID|||2000-08-03|Quandahl|Mark|
1021|Hoeger for County Board|Statement of Organization|2000-07-06|2000-07-11|$125.00|REDUCED|$0.00|2000-07-25||Hoeger|Mark|
1022|Ramon Janssen for State Legislature|2000 Post Primary Campaign Statement|2000-06-19|2000-07-03|$350.00|PAID|$25.00|2000-08-21|2000-08-21|Janssen|Ramon|
1025|Omaha School Administrators PAC|2000 Post Primary Campaign Statement|2000-06-19|2000-06-20|$25.00|PAID|||2000-09-05|||
1026|Professional Insurance Agents of Nebraska PAC|2000 Post Primary Campaign Statement|2000-06-19|2000-06-30|$275.00|REDUCED|$0.00|2000-08-07||||
1027|Valentine for Legislature|2000 Post Primary Campaign Statement|2000-06-19|2000-06-20|$25.00|PAID|||2000-08-18|Valentine|Robert|
1028|Heier for County Commissioner|Report of Late Contribution|2000-05-06|2000-06-19|$3000.00|REDUCED|$0.00|2000-09-19||Heier|Bernard|
1029|Dwite Pedersen for District #39|Post Primary Election Campaign Statement|2000-06-19|2000-06-20|$25.00|PAID|||2000-08-24|Pedersen|Dwite|
1031|Wellenstein for State School Board|Statement of Organization|2000-05-05|2000-05-15|$275.00|REDUCED|$0.00|2000-08-23||||
1032|Wellenstein for State School Board|Post Primary Election Campaign|2000-06-19|2000-07-03|$350.00|REDUCED|$0.00|2000-08-23||||
1033|Trimble for Legislature|2000  Post Primary Campaign Statement|2000-06-19|2000-06-20|$25.00|PAID|||2000-09-18|Trimble|Cleve|
1035|McDonald for Legislature|CFLA-1|2000-08-07|2000-08-10|$75.00|REDUCED|$0.00|2000-08-22||||
1036|The Committee to Vote Yes for Lower Phone Bills|1999 Annual Campaign Statement|2000-01-31|2001-01-31|$750.00|PAID|||2000-08-28|||
1037|Committee for Outstanding Response in an Emergency|Statement of Organization|2000-08-13|2000-08-24|$250.00|REDUCED|$0.00|2000-08-19||||
1038|Defense of Marriage Amendment (DOMA)|Post Petition Statement|2000-08-07|2000-08-24|$425.00|REDUCED|$0.00|2000-09-12||||
1039|Brumbaugh & Quandahl PC|Report of Late Contribution|2000-03-10|2000-09-08|$750.00|REDUCED|$0.00|2000-09-19||||
1043|NE Podiatry PAC|2000 1st General Campaign Statement|2000-10-10|2000-10-12|$50.00|REDUCED|$0.00|2000-11-08||||
1044|Groesser for Mayor|2000 1st Primary Campaign Statement - Exemption|2000-04-10|2000-10-05|$750.00|REDUCED|$0.00|2000-10-17||Groesser|Donald|
1045|Groesser for Mayor|2000 2nd Primary Campaign Statement - Exemption|2000-05-01|2000-10-05|$750.00|REDUCED|$0.00|2000-10-17||Groesser|Donald|
1046|Groess for Mayor|2000 Post Primary Campaign Statement - Exemption|2000-06-19|2000-10-05|$750.00|REDUCED|$0.00|2000-10-17||Groesser|Donald|
1047|NE State Nurses PAC|2000 1st General Election Campaign Statement|2000-10-10|2000-10-13|$75.00|REDUCED|$0.00|1960-01-10||||
1048|David Friend for MUD|Statement of Organization|2000-09-12|2000-10-13|$750.00|REDUCED|$0.00|2000-10-24||||
1049|David Friend for MUD|2000 1st General Election Campaign Statement|2000-10-10|2000-10-13|$75.00|PAID|||2001-02-08|Friend|David|
1050|Davis for Education|2000 1st General Election Campaign Statement|2000-10-10|2000-10-11|$25.00|REDUCED|$0.00|2000-10-24||||
1051|The Committee to Elect Chris Rodgers to Metro Community College|Statement of Organization|2000-09-18|2000-10-24|$750.00|REDUCED|$0.00|2000-10-24||||
1052|The Committee to Elect Chris Rodgers Metro Community College|2000 1st General Election Campaign Statement|2000-10-10|2000-10-20|$75.00|PAID|||2000-11-01|Rodgers|Chris|
1053|Committee to Elect Bev Peterson|2000 2nd General Election Campaign Statement|2000-10-10|2000-10-16|$150.00|RED/PAID|$25.00|2000-11-07|2000-11-07|Peterson|Bev|
1054|Committee to Elect Lonnie Logan|2000 1st General Election Campaign Statement|2000-10-10|2000-10-13|$75.00|RED/PAID|$25.00|2000-11-08|2000-11-08|Logan|Lonnie|
1055|Nebraskans for Term Limits|Annual Campaign Statement|2000-01-31|2000-06-30|$750.00|PAID|||2001-01-16|||
1056|Curt Bromm for Legislature|2nd General Campaign Statement|2000-10-30|2000-11-01|$50.00|PAID|$0.00||2000-11-01|Bromm|Curt|
1057|Patton 2000 Legislative Committee|1st General Campaign Statement|2000-10-10|2000-10-11|$25.00|PAID|||2001-01-03|Patton|Doug|
1058|Retail PAC|2000 1st General Campaign Statement|2000-10-10|2000-10-20|$250.00|PAID|||2000-11-20|||
1059|Maxwell for Legislature|2000 1st General Election Campaign Statement|2000-10-10|2000-10-13|$75.00|PAID|||2001-03-12|Maxwell|Chip|
1060|Maxwell for Legislature|2000 2nd General Election Campaign Statement|2000-10-30|2000-11-08|$225.00|PAID|||2001-03-12|Maxwell|Chip|
1061|NE Dental Hygienists Association PAC|2000 1st General Election Campaign Statement|2000-10-10|2000-10-16|$150.00|REDUCED|$0.00|2000-12-08||||
1062|Mike Boyle for County Commissioner|2000 2nd General Election Campaign Statement|2000-10-30|2000-11-01|$50.00|PAID|||2001-01-17|Boyle|Mike|
1063|Duda for County Board|2000 2nd General Election Campaign Statement|2000-10-30|2000-11-06|$175.00|PAID|||2000-12-20|Duda|Clare|
1064|Erdman for Legislature|2000 2nd General Election Campaign Statement|2000-10-30|2000-11-09|$250.00|REDUCED|$0.00|2001-01-02||Erdman|Phil|
1065|Hoeger for County Board|2000 1st General Campaign Statement|2000-10-13|2000-10-10|$75.00|REDUCED|$0.00|2001-04-17||Hoeger|Mark|
1066|Hoeger for County Board|2000 2nd General Campaign Statement|2000-10-30|2000-11-17|$450.00|REDUCED|$0.00|2001-04-17||Hoeger|Mark|
1067|Adams for Mayor|Statement of Organization|2000-05-29|2000-09-26|$750.00|REDUCED|$0.00|2000-11-28||Adams|Gordon|
1068|Adams for Mayor|2000 Post Primary Campaign Statement|2000-06-19|2000-09-26|$750.00|REDUCED|$0.00|2000-11-28||Adams|Gordon|
1069|Bauer for Education|2000 2nd General Campaign Statement|2000-10-30|2000-10-31|$25.00|PAID|||2001-01-06|Bauer||
1070|NE Chapter of NASW (PACE)|2000 2nd General Election Campaign Statement|2000-10-30|2000-11-21|$550.00|REDUCED|$0.00|2000-12-08||||
1071|Omaha School Administrators PAC|2000 1st General Election Campaign Statement|2000-10-10|2000-11-13|$750.00|REDUCED|$0.00|2002-03-25||||
1072|Omaha School Administrators PAC|2000 2nd General Election Campaign Statement|2000-10-30|2000-11-13|$350.00|REDUCED|$0.00|2002-03-25||||
1073|Jack Postlewait for Commissioner|2000 1st General Election Campaign Statement|2000-10-10|2000-10-13|$75.00|REDUCED|$0.00|2001-01-25||Postlewait|Jack|
1074|Jack Postlewait for Commissioner|2000 2nd General Election Campaign Statement|2000-10-30|2000-11-02|$75.00|REDUCED|$0.00|2001-01-25||Postlewait|Jack|
1076|Hatcher for Council|2000 2nd General Campaign Statement|2000-10-30|2000-11-13|$100.00|REDUCED|$0.00|2001-01-03||Hatcher|Theresa|
1077|Committee to Elect Carole Woods Harris|2000 1st General Election Campaign Statement|2000-10-10|2000-10-12|$50.00|REDUCED|$0.00|2001-01-03||Woods Harris|Carole|
1079|Vote No on DOMA|Report of Late Contribution|2000-11-06|2000-12-20|$3000.00|PAID|||2001-02-26|||
1080|Task Force for Kids|2000 Post Special Election|2000-10-10|2001-01-03|$750.00|REDUCED|$0.00|2001-08-02||||
1081|Carroll for Commissioner|Report of Late Contribution|2000-10-26|2001-01-12|$3000.00|REDUCED|$0.00|2001-02-12||||
1082|Tom Cavanaugh for County Clerk|2000 1st Primary Campaign Statement|2000-04-10|2001-01-30|$750.00|REDUCED|$0.00|2001-02-14||Cavanaugh|Tom|
1083|Tom Cavanaugh for County Clerk|2000 2nd Primary Campaign Statement|2000-05-01|2001-01-30|$750.00|REDUCED|$0.00|2001-02-14||Cavanaugh|Tom|
1084|Tom Cavanaugh for County Clerk|2000 Post Primary Campaign Statement|2000-06-19|2001-01-30|$750.00|REDUCED|$0.00|2001-02-14||Cavanaugh|Tom|
1085|Tom Cavanaugh for County Clerk|2000 1st General Campaign Statement|2000-10-10|2001-01-30|$750.00|REDUCED|$0.00|2001-02-14||Cavanaugh|Tom|
1086|Tom Cavanaugh for County Clerk|2000 2nd General Campaign Statement|2000-10-30|2001-01-30|$750.00|REDUCED|$0.00|2001-02-14||Cavanaugh|Tom|
1087|Tom Cavanaugh for County Clerk|2000 Post General Campaign Statement|2001-01-16|2001-01-30|$375.00|REDUCED|$0.00|2001-02-14||Cavanaugh|Tom|
1088|Jim Jensen|CFLA-1|2001-01-02|2001-01-11|$225.00|REDUCED|$0.00|2001-01-24||Jensen|Jim|
