Committee ID Number|Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee Type|Date Received|Postmark Date|Nature Of Filing|Ballot Question|Oppose Ballot Question|Ballot Type|Date over Theshold|Acronym|Separate Seg Political Fund ID|Separate Segregated Political Fund Name|SSPF Address|SSPF City|SSPF State|SSPF Zip|SSPF Type|Date Dissolved|Date of Next Election|Election Type|Won General|Won Primary
10CAC01503|COMMITTEE TO ELECT GARY A. BARNARD|105 REGENCY DRIVE|BEATRICE |NE|68310|C|2010-10-26|2010-10-25|I||||2010-10-25|||||||||2011-01-11|2010-11-02|G||
06CAC00948|COMMITTEE TO ELECT GARY A. BARNARD|105 REGENCY DRIVE|BEATRICE |NE|68310|C|2006-09-22|2006-09-22|I||||2006-09-22|||||||||2008-02-26|2006-11-07|||
99CAC00069|COMMITTEE TO ELECT GEORGE MILLS (1998)|5146 PINE STREET,|OMAHA|NE|68106|C|1994-01-03|1994-01-03|I||0|I|1994-01-03|       |          |||||||1999-05-05|1998-05-04|P|0|0
99CAC00166|COMMITTEE TO ELECT HAROLD OBERMEYER|P.O. Box 372,|PENDER|NE|68047|C|1986-05-20|1986-05-20|I||0|I|1986-05-20|       |          |||||||2002-09-26|2002-05-04|G|0|0
12CAC01604|COMMITTEE TO ELECT JACK ANDERSEN (DISSOLVED)|3484 520TH ROAD|RUSHVILLE|NE|69360|C|2011-12-27|2011-12-22|I||||2012-02-24|||||||||2012-07-25|2012-05-15|||
99CAC00323|COMMITTEE TO ELECT JERRY RYAN (DISSOLVED)|113 MARTIN DRIVE,|BELLEVUE|NE|68005|C|1998-07-31|1998-07-31|I||0|I|1998-07-31|       |          |||||||2000-02-15|1998-05-04|P|0|0
99CAC00698|COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45|113 MARTIN DRIVE|BELLEVUE|NE|68005|C|2004-09-20|2004-09-18|I||0|I|2004-09-20||99IRC00418||||||R|1900-01-01|2004-11-02|G|0|0
99CAC00068|COMMITTEE TO ELECT JIM MILLER SARPY COUNTY ATTORNE|6842 Pacific,|OMAHA|NE|68106|C|1998-07-30|1998-07-31|I||0| |1998-07-30|       |          |||||||1999-01-05|1998-05-04|P|0|0
99CAC00544|COMMITTEE TO ELECT JIM VOKAL|8815 F STREET|OMAHA |NE|68127|C|2001-01-22|2001-01-19|I||0|I|2001-01-15||||||||||2005-05-10|G|1|1
08CAC01071|COMMITTEE TO ELECT JOHN CARTER FOR LEGISLATURE|3737 DODGE STREET SUITE 200|OMAHA|NE|68131|C|2008-01-11|2008-01-11|I||||2008-01-07|||||||||2008-06-18|2008-05-13|P||
10CAC01512|COMMITTEE TO ELECT JOHN D. JENSON SHERIFF|PO BOX 73  //  5874 RD 125 |DALTON|NE|69131|C|2010-11-01|2010-10-29|I||||2010-10-28||||||||||2010-11-02|G||
06CAC00797|COMMITTEE TO ELECT JOHN EWING |13516 BURT STREET|OMAHA|NE|68154|C|2006-02-14|2006-02-13|I||||2006-02-22||||||||||2006-11-07|G||
10CAC01405|COMMITTEE TO ELECT JOHN LILLIS|3922 S 119 STREET|OMAHA|NE|68144|C|2010-02-19|2010-02-18|I||||2010-02-16|||||||||2012-05-07|2010-11-02|G||1
99CAC00667|COMMITTEE TO ELECT JOHN MURANTE (DISSOLVED 2005)|13305 BEDFORD AVENUE|OMAHA|NE|68164|C|2004-03-24|2004-03-24|I||0|I|2004-06-16|||||||||2005-10-14|2004-11-02|G||1
99CAC00679|COMMITTEE TO ELECT JOHN T. GREEN|2606 NORTH 81ST|OMAHA|NE|68134|C|2004-04-20|2004-04-20|I||0|I|2004-04-17||99IRC00394||||||R|2005-01-10|2004-11-02|G|0|1
99CAC00079|COMMITTEE TO ELECT JOHN W. PAYNE|1516 First Avenue, P.O. Box 1600|KEARNEY|NE|68848|C|1998-03-19|1998-03-19|I||0| |1998-03-19|       |          |||||||1999-01-05|1998-05-04|P|0|0
06CAC00837|COMMITTEE TO ELECT JONI JONES SARPY COUNTY COMMISS|821 WILSHIRE LANE|LAKE VILLA|IL|60046|C|2006-04-06|2006-04-06|I||||2006-04-05|||||||||2010-04-01|2006-11-07|P||
05CAC00746|COMMITTEE TO ELECT KERRY WINTERER|P.O. BOX 121|Boys Town|NE|68010|C|2005-11-02|2005-10-31|I||||2005-10-19|||||||||2007-12-26|2006-05-09|P||
99CAC00370|COMMITTEE TO ELECT KIP MURPHY|3301 Cornelian Street,|LINCOLN |NE|68516|C|1998-10-27|1998-10-27|I||0| |1998-10-27|       |          |||||||1999-02-09|1998-11-04|G|0|0
14CAC01902|COMMITTEE TO ELECT LARRY BRADLEY|6068 COUNTRY CLUB OAKS PLACE|OMAHA|NE|68152|C|2014-04-10|2014-04-10|I||||1900-01-01||||||||||2014-05-13|P||
99CAC00686|COMMITTEE TO ELECT LAVON HEIDEMANN (LEGISLATURE)(D|215 MAIN STREET|STEINAUER|NE|68441|C|2004-05-14|2004-05-13|I||0|I|2004-06-15|||||||||2012-07-24|2008-11-07|G||1
99CAC00258|COMMITTEE TO ELECT LEO PAT ENGEL|1000 W 29TH ST STE 218|SOUTH SIOUX CITY |NE|68776|C|1994-03-14|1994-03-14|I||0|I|1994-03-14|||||||||2009-10-26|2004-11-02|G|1|1
99CAC00198|COMMITTEE TO ELECT LLOYD DOWDING|1806 S. FILLMORE ST.|PAPILLION|NE|68046|C|1994-04-11|1994-04-11|I||0|I|1994-04-11||||||||||2006-11-07|G|1|
99CAC00054|COMMITTEE TO ELECT LONNIE|509 N. Grace Avenue,|GRAND ISLAND|NE|68803|C|1998-07-02|1998-07-02|I||0|I|1998-07-02|       |          |||||||2001-01-01|1998-05-04|P|0|0
99CAC00426|COMMITTEE TO ELECT LONNIE LOGAN - LEGISLATURE(DISS|1507 N LAFAYETTE|GRAND ISLAND|NE|68803|C|2000-02-07|2000-02-05|I||0|I|2000-03-01||99IRC00069||||||R|2001-01-05|2000-11-07|G|0|1
99CAC00426|COMMITTEE TO ELECT LONNIE LOGAN - LEGISLATURE(DISS|1507 N LAFAYETTE|GRAND ISLAND|NE|68803|C|2000-03-29|2000-02-05|A||0|I|2000-03-27||99IRC00069||||||R|2001-01-05|2000-11-07|G|0|1
13CAC01777|COMMITTEE TO ELECT LOU ANN GODING FOR OPS BOARD|4309 N 142 ST|OMAHA|NE|68164|C|2013-03-11|2013-03-08|I||||2013-03-06||||||||||2013-04-02|||
06CAC00815|COMMITTEE TO ELECT LOUIS WURTELE (NOT REGISTERED)|NA|||00000|C|2006-03-23||I||||1978-01-01||||||||||2006-05-05|P||
99CAC00488|COMMITTEE TO ELECT MARGARET HORNADY (DISSOLVED)|2708 ARROWHEAD ROAD|GRAND ISLAND|NE|68801|C|2000-05-24|2000-05-22|I||0|I|2000-05-18|||||||||2006-01-10|2004-11-02|G||1
06CAC00819|COMMITTEE TO ELECT MARGARET HORNADY MAYOR (DISSOLV|PO BOX 5168, 810 ALLEN DRIVE|GRAND ISLAND|NE|68802|C|2006-03-28|2006-03-27|I||||2006-03-27|||||||||2010-03-08|2006-05-09|P||
99CAC00660|COMMITTEE TO ELECT MARK GUSTAFSON (DISSOLVED)|1020 COUNTY ROAD Q|MEAD|NE|68041|C|2004-03-08|2004-03-05|I||0|I|2004-03-04|||||||||2005-04-14|2004-11-02|G||1
99CAC00678|COMMITTEE TO ELECT MARK MCCOLLEY|3476 GOLDEN EAGLE CIRCLE|BLAIR|NE|68008|C|2004-04-16|2004-04-15|I||0|I|2004-04-15|||||||||2006-01-31|2004-05-11|G||1
06CAC00814|COMMITTEE TO ELECT MARLAN MILLARD|NA|LINCOLN|NE|68508|C|2006-03-23||I||||1978-01-01||||||||||2006-05-09|P||
99CAC00414|COMMITTEE TO ELECT MARY BARRETT|4540 HICKORY STREET|OMAHA|NE|68106|C|1996-01-31|1995-12-31|I||0|I|1995-12-30|||||||||1998-07-16|2000-05-04|P||
99CAC00073|COMMITTEE TO ELECT MICHAEL MUNCH SARPY COUNTY ATTO|505 M.M. Kauntze Memorial Drive,|BELLEVUE|NE|68005|C|1994-07-25|1994-07-25|I||0| |1994-07-25|       |          |||||||1999-01-06|1998-05-04|P|0|0
99CAC00577|COMMITTEE TO ELECT MIKE LEAHY (DISSOLVED)|11945 MIRACLE HILLS DR #21|OMAHA|NE|68154|C|2002-01-28|2002-01-26|I||0|I|2002-01-10||99IRC00260||||||R|2003-01-10|2002-11-05|P|0|1
99CAC00062|COMMITTEE TO ELECT MONICA MCMANIGAL (DISSOLVED)|RR 2, BOX 16,|NIOBRARA|NE|68760|C|1998-06-17|1998-06-17|I||0|I|1998-06-17|       |          |||||||2000-01-03|1998-05-04|P|0|0
99CAC00020|COMMITTEE TO ELECT PAUL ANDERSON (DISSOLVED)|6626 CUMIN STREET,|OMAHA|NE|68132|C|1998-03-09|1998-03-09|I||0|I|1998-03-09|       |          |||||||2000-02-21|1998-05-04|P|0|0
99CAC00102|COMMITTEE TO ELECT PAUL B. SCHAUB FOR COUNTY A, TH|536 Lucille Lane,|SIDNEY|NE|69162|C|1994-08-17|1994-08-17|I||0|I|1994-08-17|       |          |||||||2000-01-13|1998-05-04|P|0|0
10CAC01482|COMMITTEE TO ELECT PENNY SOPHIR FOR OMAHA BOARD OF|11803 N 36TH STREET|OMAHA|NE|68112|C|2010-08-23|2010-08-20|I||||2010-08-13|||||||||2011-08-22|2010-11-02|G||
99CAC00111|COMMITTEE TO ELECT PENNY SOPHIR(DISSOLVED)|11803 NORTH 36TH STREET,|OMAHA|NE|68112|C|1998-04-28|1998-04-28|I||0|I|1998-04-28|       |          |||||||2000-03-29|1998-05-04|P|0|0
09CAC01379|COMMITTEE TO ELECT PJ MORGAN|7801 WAKELEY PLAZA|OMAHA |NE|68114|C|2009-09-03|2009-09-02|I||||2009-10-02||||||||||2010-05-11|P||
99CAC00115|COMMITTEE TO ELECT RANDY STOLL|RR 1, Box 97B,|YORK|NE|68467|C|1998-05-13|1998-05-13|I||0|I|1998-05-13|       |          |||||||1999-10-12|1998-05-04|P|0|0
99CAC00135|COMMITTEE TO ELECT REGINALD YOUNG (DISSOLVED)|3344 NORTH 47TH AVENUE,|OMAHA|NE|68104|C|1998-04-20|1998-04-20|I||0|I|1998-04-20|       |          |||||||1999-04-16|1998-05-04|P|0|0
99CAC00386|COMMITTEE TO ELECT REICHERT|5000 W. Kent Street,|LINCOLN|NE|68524|C|1999-03-16|1999-03-16|I||0|I|1999-03-16|       |          |||||||1999-05-17|1999-04-06|G|0|0
99CAC00604|COMMITTEE TO ELECT REJEAN JAKSICH CLERK OF DIST CT|490 CHESTNUT|SPRINGFIELD|NE|68059|C|2002-05-13|2002-05-10|I||0|I|2002-05-02||99IRC00288||||||R|2002-06-25|2002-05-14|P|0|0
99CAC00021|COMMITTEE TO ELECT RICHARD C. ANDERSON (DISSOLVED)|P.O. BOX 1595,|KEARNEY|NE|68848|C|1986-03-21|1986-03-21|I||0| |1986-03-21|       |          |||||||1998-09-28|1998-05-04|P|0|0
99CAC00188|COMMITTEE TO ELECT RICK CAMPBELL (DISSOLVED)|1123 OKE STREET,|PAPILLION|NE|68046|C|1998-06-02|1998-06-02|I||0|I|1998-06-02|       |          |||||||1999-04-15|1998-05-04|P|0|0
99CAC00664|COMMITTEE TO ELECT RICK GALUSHA (DISSOLVED)|12005 NORTH 34TH STREET|OMAHA|NE|68112|C|2004-03-19|2004-03-17|I||0|I|2004-03-11|||||||||2006-11-20|2004-11-02|G||1
99CAC00692|COMMITTEE TO ELECT RICK SANDERS|507 MARTIN DRIVE|BELLEVUE|NE|68005|C|2004-06-30|2004-06-29|I||0|I|2004-06-18||99IRC00409||||||R|1900-01-01|2004-11-05|G|0|1
07CAC01020|COMMITTEE TO ELECT ROGER YANT MAYOR NOT  REGISTERE|5640 HUNTS DRIVE|LINCOLN|NE|68512|C|2007-03-02|2007-03-01|I||||9999-12-31||||||||||2007-04-03|||
99CAC00656|COMMITTEE TO ELECT ROSIE ZWEIBACK (DISSOLVED)|1735 SOUTH 87TH STREET|OMAHA|NE|68124|C|2004-02-09|2004-02-07|I||0|I|2004-02-03|||||||||2014-01-29|2006-11-07|P||1
13CAC01761|COMMITTEE TO ELECT ROY CHRISTENSEN|7700 A STREET, SUITE 100|LINCOLN|NE|68510|C|2013-01-16|2013-01-15|I||||2013-01-12||||||||||2012-04-09|P||
14CAC01975|COMMITTEE TO ELECT STAN WIRTH FOR MAYOR|718 GARFIELD STREET|BEATRICE |NE|68310|C|2014-09-22|2014-09-22|I||||2014-09-12||||||||||2014-11-04|G|1|
99CAC00260|COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|302 BASSWOOD COURT|BELLEVUE|NE|68005|C|1989-04-05|1989-04-05|I||0|I|1989-04-05|||||||||2008-04-21|1999-04-03|G||
08CAC01133|COMMITTEE TO ELECT STEVE EXON - DISSOLVED 10-7-08|302 BASSWOOD CT.|BELLEVUE|NE|68005|C|2008-04-21|2008-04-18|I||||2008-04-18|||||||||2008-10-07|2008-05-13|P||
10CAC01446|COMMITTEE TO ELECT STEVE EXON MAYOR OF BELLEVUE|302 BASSWOOD CT|BELLEVUE|NE|68005|C|2010-04-27|2010-04-26|I||||2010-04-23|||||||||2011-01-11|2010-05-11|P||
06CAC00803|COMMITTEE TO ELECT STEVE GUITTAR|2649 N 48TH SUITE B|LINCOLN|NE|68504|C|2006-03-15|2006-03-14|I||||2006-03-15|||||||||2007-04-25|2006-05-09|P||
99CAC00097|COMMITTEE TO ELECT STEVE SVOBODA|1301 North 56th Street,|LINCOLN|NE|68504|C|1990-05-01|1990-05-01|I||0| |1990-05-01|       |          |||||||1998-12-24|1900-01-01|P|0|0
99CAC00646|COMMITTEE TO ELECT STU DORNAN|15426 WEST CENTER ROAD|OMAHA|NE|68144|C|2003-09-19|2003-09-18|I||0|I|2003-09-18|||||||||2007-04-30|2006-11-07|G||1
08CAC01094|COMMITTEE TO ELECT THERESA HATCHER (NOT REGISTERED|4885 SO. 118TH ST. (NOT A REGISTERED COMMITTEE )|OMAHA|NE|68137|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2007-01-01|P||
99CAC00254|COMMITTEE TO ELECT THOMAS F. DOWD|1905 Harney, Suite 620,|OMAHA|NE|68102|C|1996-04-05|1996-04-05|I||0|I|1996-04-05|       |          |||||||1999-05-03|1996-11-04|G|0|0
99CAC00300|COMMITTEE TO ELECT THOMAS RILEY|353 North 41st Street,|OMAHA|NE|68131|C|1995-09-05|1995-09-05|I||0|I|1995-09-05||||||||||2012-11-08|G||1
06CAC00802|COMMITTEE TO ELECT TOM BARRETT(DISSOLVED)|PO BOX 31641|OMAHA|NE|68131|C|2006-03-10|2006-03-10|I||||2006-03-10|||||||||2009-04-03|2006-05-09|P||
10CAC01398|COMMITTEE TO ELECT TOM DIERKS|3510 R STREET|LINCOLN|NE|68503|C|2010-01-27|2010-01-27|I||||2010-01-17|||||||||2011-08-10|2010-05-11|G||1
99CAC00200|COMMITTEE TO ELECT TOM DOYLE|6730 SOUTH 91ST AVENUE|OMAHA |NE|68127|C|1985-12-09|1985-12-09|I||0|I|1985-12-09|       |          |||||||1900-01-01|2002-11-05|G|1|1
99CAC00077|COMMITTEE TO ELECT TOM NUTT SHERIFF|1418 8th Avenue,|HOLDREGE|NE|68949|C|1998-06-04|1998-06-04|I||0|I|1998-06-04|       |          |||||||2000-01-03|1998-05-04|P|0|0
07CAC01044|COMMITTEE TO ELECT TOM RICHARDS SARPY CO COMM|1234 ST. ANDREWS RD|BELLEVUE|NE|68005|C|2007-11-02|2007-11-01|I||||2007-10-28||||||||||2012-11-16|G||1
14CAC01865|COMMITTEE TO ELECT TOMMY GARRETT|13705 SOUTH 38TH STREET|BELLEVUE|NE|68123|C|2014-04-22|2014-04-21|I||||2014-02-11||||||||||2014-11-04|G||1
12CAC01719|COMMITTEE TO ELECT WILLIAM FORSEE (NOT REGISTERED)|4942 GREENE AVENUE|BELLEVUE|NE|68157|C|9999-10-12||||||9999-12-31|||||||||||||
15BQC00425|COMMITTEE TO GET THE JOB DONE|809 N 96TH STREET|OMAHA |NE|68114|B|2015-12-18|2015-12-16||PAPIO-MISSOURI RIVER NRD FLOOD PROTECTION BOND AUTHORITY|0||2015-12-16||||||||||2016-05-10|P||
10BQC00285|COMMITTEE TO KEEP OMAHA MOVING FORWARD (DISSOLVED)|1501 SO 80TH STREET|OMAHA|NE|68124|B|2010-10-20|2010-10-18|I|MAYOR SUTTLE RECALL01|1|R|9999-12-31|||||||||2012-01-31|2011-01-25|G||
06BQC00127|COMMITTEE TO OPP THE RETENTION OF JUSTICE STEPHAN|3001 WEST RODEO RD|NORTH PLATTE|NE|69101|B|2006-03-22|2006-03-16|I|JUDICIAL RETENTION - Justice Kenneth C Stephan||O|1978-01-01|||||||||2007-01-19|2006-11-07|G||
06BQC00126|COMMITTEE TO OPPOSE THE RETENTION OF JUSTICE MCCOR|3001 WEST RODEO RD|NORTH PLATTE|NE|69101|B|2006-03-22|2006-03-16|I|JUDICIAL RETENTION - Justice Michael McCormick|1|O|1978-01-01|||||||||2007-01-19|2006-11-07|G||
05BQC00108|COMMITTEE TO PUT KIDS FIRST|424 WEST THIRD STREET |GRAND ISLAND|NE|68801|B|2005-06-06|2005-06-03|I|School Bond Issue for District 2 in Hall County/Grand Island Public Schools $19,950,000.||I|2005-06-03|||||||||2005-10-24|2005-09-13|||
99CAC00138|COMMITTEE TO RE-ELECT CHRIS ABBOUD TO THE LEGISLAT|6530 SOUTH 84TH STREET|OMAHA |NE|68127|C|1982-03-31|1982-03-31|I||0|I|1982-03-31|||||||||2007-02-02|2005-01-01|P||
99CAC00372|COMMITTEE TO RE-ELECT DICK GALUSHA (DISSOLVED)|12005 N. 34TH AVENUE,|OMAHA|NE|68112|C|1998-10-28|1998-10-26|I||0| |1998-10-28|       |          |||||||1999-02-04|1998-11-04|G|0|0
99CAC00585|COMMITTEE TO RE-ELECT JERRY RYAN|113 MARTIN DR|BELLEVUE|NE|68005|C|2002-03-01|2002-02-28|I||0|I|2002-02-21||99IRC00269||||||R|1900-01-01|2002-11-05|G|1|0
08CAC01156|COMMITTEE TO RE-ELECT JOHN SCHWOPE (NOT REGISTERED|NOT REGISTERED|BELLEVUE|NE|68005|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||2008-05-13|||
99CAC00157|COMMITTEE TO RE-ELECT JORGENSEN TO OPPD|11518 Spaulding Street,|OMAHA|NE|68164|C|1983-07-13|1983-07-13|I||0| |1983-07-13|       |          |||||||1998-09-16|1990-11-04|G|0|0
99CAC00336|COMMITTEE TO RE-ELECT LES TAYLOR, THE|#40 Eastridge Drive North,|YORK|NE|68467|C|1984-09-18|1984-09-18|I||0|I|1984-09-18|       |          |||||||1999-11-17|1996-11-04|G|0|0
99CAC00365|COMMITTEE TO RE-ELECT MICHELE D. KLINGLER|1204 Saunders,|HASTINGS|NE|68901|C|1998-10-19|1998-10-19|I||0| |1998-10-19|       |          |||||||1999-01-05|1998-05-04|P|0|0
99CAC00050|COMMITTEE TO RE-ELECT PATTIE GORHAM (DISSOLVED)|402 KOUNTZE MEMORIAL DRIVE,|BELLEVUE|NE|68005|C|1998-04-21|1998-04-21|I||0|I|1998-04-21|       |          |||||||1998-12-30|1998-05-04|P|0|0
10CAC01448|COMMITTEE TO RE-ELECT RANDALL RITNOUR AS GAGE CO A|515 N 8TH #1|BEATRICE |NE|68310|C|2010-04-29|2010-04-29|I||||2010-04-28|||||||||2010-05-26|2010-05-11|P||
14CAC01948|COMMITTEE TO RE-ELECT RITA SANDERS|507 MARTIN DRIVE|BELLEVUE|NE|68005|C|2014-05-12|2014-05-10|I|||O|2014-05-09||||||||||2014-05-13|P||
99CAC00121|COMMITTEE TO RE-ELECT SHIRLEY TYREE TO THE SCHOOL|6011 CURTIS AVE|OMAHA|NE|68104|C|1994-06-24|1994-06-24|I||0|I|1994-06-24|       |          |||||||2003-03-13|2002-11-05|G|1|1
99CAC00056|COMMITTEE TO RE-ELECT THOMAS LYNAM SARPY COUNTY SU|504 NORTH FILLMORE STREET|PAPILLION|NE|68046|C|1990-03-15|1990-03-15|I||0|I|1990-03-15|||||||||2014-02-25|2002-11-05|G|1|1
99CAC00233|COMMITTEE TO RE-ELECT TIM LOEWENSTEIN|9393 2nd Avenue,|KEARNEY|NE|68847|C|1990-10-24|1990-10-24|I||0|I|1990-10-24|       |          |||||||2003-01-06|2002-11-05|P|0|0
99CAC00696|COMMITTEE TO RE-ELECT TOM GARVEY|2308 CORNHUSKER|BELLEVUE|NE|68123|C|2004-07-29|2004-07-28|I||0|I|2004-07-10|||||||||2007-06-13|2004-11-02|G||1
08CAC01242|COMMITTEE TO REELECT HUSTEN(NOT REGISTERED)|3000 FARNAM APT F|OMAHA|NE|68131|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||2008-11-04|||
14BQC00403|COMMITTEE TO RENEW SCOTTSBLUFF CITY SALES TAX (NR)|NOT REGISTERED|SCOTTSBLUFF|NE|69361|B|9999-11-06|9999-12-31|I|||O|9999-12-31||||||||||2014-11-04|||
99CAC00122|COMMITTEE TO RETAIN FRED ULRICH|109 South 14th Street, P.O. Box 489|PLATTSMOUTH|NE|68048|C|1986-05-07|1986-05-07|I||0|I|1986-05-07|       |          |||||||1900-01-01|2004-11-02|G|1|1
05CAC00730|COMMITTEE TO RETAIN JEFFREY L. DAVIS FOR SHERIFF|901 EDGEWATER DRIVE|PAPILLION|NE|68046|C|2005-06-14|2005-06-13|I||||2006-02-02||||||||||2010-05-11|P||
99BQC00059|COMMITTEE TO RETAIN JUDGE REAGAN (DISSOLVED)|2308 CORNHUSKER RD|PAPILLION|NE|681232410|B|2000-10-30|2000-10-26|I|THE RETENTION OF JUDGE REAGAN                     |0|I|2000-10-25||99IRC00195||||||R|2001-05-18|2000-11-07|G|0|0
99CAC00570|COMMITTEE TO RETAIN LEE POLIKOV COUNTY ATTORNEY|1246 GOLDEN GATE DR|PAPILLION|NE|68046|C|2001-11-08|2001-11-07|I||0|I|2001-11-06||||||||||2006-11-07|G|1|
99BQC00052|COMMITTEE TO SAVE OUR STREETS|1428 KIEWIT PLAZA|OMAHA|NE|68131|B|1996-02-20|1996-02-20|I|BOND ISSUE                                        |0|I|1996-02-20||99IRC00172||||||R|1998-07-05|1996-05-04|P|0|0
99BQC00005|COMMITTEE TO VOTE YES FOR LOWER PHONE BILLS, THE|10011 J Street, P.O. Box 24091|OMAHA|NE|68124|B|1998-06-05|1998-06-05|I|INITIATIVE 414                                    |0|I|1998-06-05|       |          |||||||2000-11-06|1998-11-04|G|0|0
08BQC00185|COMMUNITIES IN CONCERT|551 N. LINDEN|WAHOO|NE|68066|B|2008-02-06|2008-02-05|I|$6,6 mil construction & equipment for classrooms|0|O|2008-02-05|||||||||2009-04-07|2008-03-11|P||
05BQC00118|COMMUNITY FOR KIDS COMMITTEE|7001 S. 27TH STREET|LINCOLN|NE|68512|B|2005-12-20|2005-12-20|I|CITY OF LINCOLN $250 Million LPS Bond Issue|0|O|2005-12-19|||||||||2007-01-31|2006-02-14|P||
12CAC01757|COMMUNITY FOR PATLAN|3305 E STREET|OMAHA|NE|68107|C|2012-12-20|2012-12-18|I||||2012-12-17||||||||||2013-04-02|||
99BQC00084|COMMUNITY UNITED FOR EDUCATION|517 SANDY SHORES DR|SCHUYLER|NE|68661|B|2003-05-19|2003-05-16|I|COLFAX CO SCHOOL DISTRICTS 2 AND 123, SCHOOL BOND |0|O|2003-05-07||99IRC00347||||||R|2003-06-23|2003-05-13|P|0|0
06CAC00805|COMSTOCK FOR LEGISLATURE|5021 NICHOLAS ST|OMAHA|NE|68132|C|2006-03-17|2006-03-15|I||||2006-03-13|||||||||2006-06-19|2006-05-09|||
07BQC00153|CONCERNED CITIZENS FOR RESPONSIBLE GOV. |19818 EWEL. COURT|PLATTSMOUTH|NE|68048|B|2007-05-01|2007-04-26|I|Recall Cass County Commissioner|0|R|2007-04-02|||||||||2007-08-13|2007-06-12|G||
99BQC00033|CONCERNED TAXPAYERS FOR A QUALITY EDUCATION(DISSOL|22742 COUNTY ROAD 16|ARLINGTON|NE|68002|B|1999-04-27|1999-04-23|I|WASHINGTON COUNTY SCHOOL BOND AKA ARLINGTON SCHOOL|1|O|1999-04-15|       |99IRC00010||||||R|2000-11-20|1999-04-13|G|0|0
99CAC00191|CONNEALY FOR LEGISLATURE (DISSOLVED)|2099 OLD HWY 118|DECATUR|NE|68020|C|1997-06-19|1997-06-19|I||0|I|1997-06-19|||||||||2007-07-27|2002-11-05|G|1|1
06CAC00824|CONNEALY FOR PSC|2999 OLD HWY 118|DECATUR|NE|68020|C|2006-04-03|2006-04-06|I||||2006-04-03|||||||||2007-05-30|2006-05-09|P||
99CAC00517|CONNIE DAY FOR LEGISLATURE|P O BOX 1187|NORFOLK|NE|68702|C|1992-09-03|1992-09-02|I||0|I|1992-09-01||99IRC00176||||||R|1997-02-03|1992-11-07|G|1|1
14CAC02014|CONNIE FOR SCHOOLS|1230 ARIES DR STE A|LINCOLN|NE|68512|C|2014-10-24|2014-10-23|I||||2014-10-16||||||||||2015-04-07|G|1|
05CAC00744|CONRAD FOR LEGISLATURE(DISSOLVED)|3818 DUDLEY STREET|LINCOLN|NE|68503|C|2005-10-28|2005-10-28|I||||2005-10-28|||||||||2015-04-20|2010-11-02|G||1
07IRC00482|CONSUMERS AGAINST HIGHER INSURANCE RATES ( NOT REG|NOT A REGISTERED COMMITTEE|OMAHA |NE|68114|R|2007-09-18|2007-09-13|I||||2007-09-20||||||||||2007-09-12|P||
06CAC00845|COOLEY FOR LEGISLATURE|P.O. BOX 125|GREENWOOD|NE|68366|C|2006-04-10|2006-04-07|I||||2006-04-14|||||||||2006-06-19|2006-05-09|P||
06IRC00461|COUGARS YES-CONESTOGA (NOT REGISTERED)|PO BOX 168|MURRAY|NE|68709|R|2006-01-23|2006-01-20|I||||1978-01-01||||||||||2005-12-31|||
13BQC00361|CRETE PARTNERS IN EDUCATION (NOT REGISTERED)|143 E. 13TH STREET|CRETE|NE|68333|B|1900-01-01|1900-01-01|I||||1900-01-01||||||||||1900-01-01|||
06CAC00864|CRYSTAL RHOADES FOR METRO COLLEGE BD (DISSOLVED)|4565 SHIRLEY STREET|OMAHA|NE|68106|C|2006-10-17|2006-10-17|I||||2006-10-13|||||||||2008-02-27|2006-11-07|G||
08BQC00197|CUMING COUNTY JAIL BOND COMMITTEE (NOT REGISTERED)|1108 W. PARK STREET|WEST POINT|NE|68788|B|9999-12-31|9999-12-31|I||||9999-12-31||||||||||2008-05-13|P||
99CAC00150|CURT BROMM LEGISLATIVE COMMITTEE|551 N. Linden, P.O. Box 277|WAHOO|NE|68066|C|1992-05-05|1992-05-05|I||0|I|1992-05-05|||||||||2006-01-30|2000-11-02|P||
99CAC00015|CURT DONALDSON FOR CITY COUNCIL (DISSOLVED)|P.O. BOX 80009|LINCOLN|NE|68501|C|1993-01-19|1993-01-18|I||0|I|1993-01-19|       |          |||||||2001-04-09|2003-04-03|P|0|1
06CAC00796|CURT FRIESEN FOR LEGISLATURE (DISSOLVED 2007)|1040 NORTH MAIN ST PO BOX 165|HENDERSON|NE|68371|C|2006-02-10|2006-02-09|I||||2006-02-17|||||||||2007-01-16|2006-05-09|||
08CAC01175|CURTIS SCHELL FOR LEGISLATURE (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68508|C|1900-01-01|1900-01-01|I||||2008-08-15||||||||||2008-01-01|G||
99PPC00015|CUSTER COUNTY REPUBLICANS|829 South C Street, P.O. Box 309|BROKEN BOW|NE|68822|T|1979-01-15|1979-01-15|I||0|I|1979-01-15|       |          |||||||2000-05-02|2000-05-04|P|0|0
