ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
835|Keith D. Samuelson Land Leveling, Inc.|March|1998-04-10|1998-04-21|$110.00|REDUCED|$0.00|1998-05-05||
836|Sand Livestock Systems, Inc.|December|1998-01-12|1998-03-18|$300.00|PAID|$10.00|1998-04-03||
837|Sand Livestock Systems|July|1997-08-11|1998-03-05|$300.00|REDUCED|$0.00|1998-03-16||
838|Sand Systems, Inc.|February|1998-03-10|1998-03-18|$80.00|REDUCED|$0.00|1998-04-03||
839|Sapp Brothers Ford Center, Inc.|October|1997-11-10|1997-04-08|$300.00|REDUCED|$0.00|1998-04-27||
840|Schaaf Refuse Service|February|1998-03-10|1998-04-06|$270.00|REDUCED|$0.00|1998-04-27||
841|Schaefer Electric, Inc.|September|1996-10-10|1997-06-16|$300.00|REDUCED|$0.00|1997-08-08||
842|Schirber Law Firm, PC|November|1997-12-10|1997-02-18|$300.00|REDUCED|$0.00|1998-03-06||
843|Jeff Schrier Ford, Inc.|October|1996-11-12|1996-12-24|$300.00|REDUCED|$0.00|1997-01-23||
844|Scottsbluff Vision Clinic|March|1998-04-10|1998-06-01|$300.00|REDUCED|$0.00|1998-06-17||
845|Scottsbluff/Gering Chamber of Commerce|April|1996-05-10|1996-05-28|$180.00|REDUCED|$0.00|1998-06-19||
846|R.D. Schuller, Inc.|March|1997-04-10|1997-10-17|$300.00|REDUCED|$0.00|1997-11-24||
847|Schulte-Pearson Chevrolet, Buick, Olds, Inc.|October|1996-11-12|1996-11-19|$70.00|REDUCED|$0.00|1996-12-17||
848|The Scoular Company|December|1997-01-12|1998-02-19|$300.00|PAID||||
849|The Scoular Company|August|1996-09-10|1996-09-17|$70.00|REDUCED|$0.00|1996-11-25||
850|Scribner Bank|August|1997-09-10|1998-02-19|$300.00|REDUCED|$0.00|1998-03-02||
851|Security National Bank of Omaha|August|1997-09-10|1997-09-17|$70.00|PAID||||
852|Service Employees International Union|April|1996-05-10|1996-05-16|$60.00|REDUCED|$0.00|1996-06-18||
853|Seventy-One Twenty-Eight & Pacific, Inc.|November|1997-12-10|1998-04-30|$300.00|PAID||||
854|Seventy-One Twenty-Eight & Pacific, Inc.|April|1996-05-10|1996-05-17|$70.00|PAID||||
855|Shamrock Concrete Co.|January|1997-02-10|1997-06-10|$300.00|REDUCED|$0.00|1997-08-28||
856|Shamrock Concrete Co.|February|1997-03-10|1997-06-10|$300.00|REDUCED|$0.00|1997-08-28||
857|Shamrock Concrete Co.|March|1997-04-10|1997-06-10|$300.00|REDUCED|$0.00|1997-08-28||
858|Shasteen & Crawford, PC|October|1996-11-12|1997-01-13|$300.00|REDUCED|$0.00|1997-03-17||
1033|Wilkinson Manufacturing Company|January|1998-02-10|1998-08-26|$300.00|REDUCED|$0.00|1998-09-10||
1034|Cummins Great Plains|April|1998-05-10|1998-09-04|$300.00|REDUCED|$0.00|1998-09-16||
1035|Charles Vrana & Sons Construction Co.|January|1998-02-10|1998-09-04|$300.00|REDUCED|$0.00|1998-09-16||
1036|Hansen, Engles & Locher, PC|May|1998-06-10|1998-09-04|$300.00|RED/PAID|$10.00|1998-10-19|1998-10-19|
1037|RDG Schutte Wilscam Birge|January|1997-06-10|1998-08-31|$300.00|PAID|||1998-10-15|
1038|McCann Plumbing Service|January|1998-02-10|1998-09-03|$300.00|REDUCED|$0.00|1998-09-16||
1039|Gage Financial Services|February|1998-03-10|1998-08-31|$300.00|REDUCED|$0.00|1998-09-16||
1040|Associated Electrical Sales|February|1998-03-10|1998-09-02|$300.00|REDUCED|$0.00|1998-09-16||
1041|American Association of University Professors|July|1998-08-10|1998-09-11|$300.00|REDUCED|$0.00|1998-09-30||
1042|Beatrice Motor Freight, Inc.|April|1998-05-11|1998-09-09|$300.00|REDUCED|$0.00|1998-10-13||
1043|Stanton Telecom, Inc.|May|1998-06-10|1998-09-09|$300.00|RED/PAID|$10.00|1998-09-30|1998-09-30|
1044|Central Sales Lighting Systems, Inc.|January|1998-02-10|1998-09-10|$300.00|REDUCED|$0.00|1998-09-23||
1045|Hansens & Associates, Inc.|March|1998-04-10|1998-09-08|$300.00|REDUCED|$0.00|1998-09-23||
1046|Hansens & Associates, Inc.|April|1998-05-11|1998-09-08|$300.00|REDUCED|$0.00|1998-09-23||
1047|Hansens & Associates, Inc.|May|1998-06-10|1998-09-08|$300.00|REDUCED|$0.00|1998-09-23||
1048|Mid American Benefits, Inc.|January|1998-02-10|1998-09-11|$300.00|REDUCED|$0.00|1998-09-23||
1049|Nebco, Inc.|April|1998-05-11|1998-09-10|$300.00|REDUCED|$0.00|1998-09-23||
1050|Nebraska Transport Co., Inc.|July|1998-08-10|1998-08-26|$160.00|REDUCED|$0.00|1998-09-23||
1051|P.J. Morgan Investments, Inc.|March|1998-04-10|1998-09-18|$300.00|REDUCED|$0.00|1998-09-24||
1052|American Express Travel Related Services|February|1998-03-10|1998-09-17|$300.00|REDUCED|$0.00|1998-09-24||
1053|Printer's Sales Idea Service Co.|April|1998-05-11|1998-09-17|$300.00|REDUCED|$0.00|1998-09-24||
1054|Henderson Cooperative|August|1998-09-10|1998-09-14|$40.00|PAID|||1998-10-01|
1055|MLH, Inc. d/b/a Garbo's Salons|August|1998-09-10|1998-09-17|$70.00|REDUCED|$0.00|1998-09-30||
1056|Mundy & Associates, Inc.|August|1998-09-10|1998-09-17|$70.00|REDUCED|$0.00|1998-10-13||
1057|Nebraska Petroleum Marketers & Convience Store Association|June|1998-07-10|1998-09-14|$300.00|REDUCED|$0.00|1998-10-16||
1058|Service Employees International Union Local 226|August|1998-09-10|1998-09-17|$70.00|REDUCED|$0.00|1998-09-30||
1059|Variety Motors, Inc.|April|1998-05-11|1998-09-16|$300.00|REDUCED|$0.00|1998-09-30||
1060|American Communications Group, Inc.|August|1998-09-10|1998-09-14|$40.00|PAID|||1998-10-05|
1061|Center for Rural Affairs|August|1998-09-10|1998-09-14|$40.00|PAID|||1998-10-05|
1062|Butler County Education Association|August|1998-09-10|1998-09-14|$40.00|REDUCED|$0.00|1998-10-13||
1063|Fletcher Farm Service, Inc.|August|1998-09-10|1998-09-23|$130.00|REDUCED|$0.00|1998-10-19||
1064|Northeast Nebraska Insurance Agency, Inc.|August|1998-09-10|1998-09-21|$110.00|REDUCED|$0.00|1998-10-19||
1065|Pac N Save|August|1998-09-10|1998-09-22|$120.00|REDUCED|$0.00|1998-10-19||
1066|Quality Food Center|August|1998-09-10|1998-09-22|$120.00|REDUCED|$0.00|1998-10-19||
1067|Vakoc Home Bldg. Center (Vakoc Construction Co.)|August|1998-09-10|1998-09-23|$130.00|REDUCED|$0.00|1998-10-19||
1068|Otte Construction|August|1998-09-10|1998-09-21|$110.00|REDUCED|$0.00|1998-10-19||
1069|Carhart Lumber Company|August|1998-09-10|1998-09-25|$150.00|REDUCED|$0.00|1998-10-19||
1070|Arnie's Ford Merc Inc.|August|1998-09-10|1998-09-22|$120.00|REDUCED|$0.00|1998-10-19||
1071|Agri-Products Inc.|August|1998-09-10|1998-09-24|$140.00|REDUCED|$0.00|1998-10-19||
1072|Ag Processing, Inc|April|1998-05-11|1998-09-19|$300.00|PAID|||1998-10-27|
1073|State National Bank & Trust Co.|August|1998-09-10|1998-09-22|$120.00|REDUCED|$0.00|1998-11-13||
1074|Farmers State Bank|August|1998-09-10|1998-09-22|$120.00|REDUCED|$0.00|1998-10-19||
1075|Farmers & Merchants State Bank|August|1998-09-10|1998-09-22|$120.00|REDUCED|$0.00|1998-10-19||
1076|First National Bank of Nebraska|January|1998-09-10|1998-09-23|$130.00|REDUCED|$0.00|1998-10-19||
1077|Cymru Am Byth, Ltd.|August|1998-09-10|1998-09-23|$130.00|REDUCED|$0.00|1998-10-19||
1078|Design - A - Sign, Inc.|March|1998-04-10|1998-09-21|$300.00|REDUCED|$0.00|1998-10-09||
1079|Crete Carrier Corporation|April|1998-04-13|1998-09-24|$300.00|REDUCED|$0.00|1998-10-09||
1080|Communication Design Marketing Consultants, Inc.|March|1998-04-10|1998-09-21|$300.00|REDUCED|$0.00|1998-10-09||
1081|Consolidated Services|March|1998-04-10|1998-09-25|$300.00|REDUCED|$0.00|1998-10-09||
1082|Chief School Bus Service, Inc.|February|1998-03-10|1998-09-23|$300.00|REDUCED|$0.00|1998-10-09||
1083|Fraternal Order of Police Lodge #8|February|1998-03-10|1998-09-24|$300.00|PAID|||1998-10-30|
1084|Greater Omaha Chamber of Commerce|February|1998-03-10|1998-09-25|$300.00|PAID|||1998-10-29|
1085|Rod Rehm, PC|April|1998-05-11|1998-09-21|$300.00|RED/PAID|$10.00|1998-10-23|1998-10-23|
1086|Biermans, Inc.|April|1998-05-11|1998-09-28|$300.00|REDUCED|$0.00|1998-11-13||
1087|Biermans, Inc.|August|1998-09-10|1998-09-28|$180.00|REDUCED|$0.00|1998-11-13||
1088|Hawkins Construction Company|February|1998-03-10|1998-09-24|$300.00|PAID|||1998-10-15|
1089|The Benefit Group, Inc.|April|1998-05-11|1998-10-02|$300.00|RED/PAID|$10.00|1998-10-23|1998-10-23|
1090|Blue Cross & Blue Shield of NE|February|1998-03-10|1998-09-30|$300.00|PAID|||1998-10-28|
1091|Centre Court, Inc.|March|1998-04-10|1998-10-02|$300.00|REDUCED|$0.00|1998-10-19||
1092|International Union of Elevator Contructors|January|1998-02-10|1998-10-02|$300.00|REDUCED|$0.00|1998-10-19||
1093|Omaha Bldg. & Construction Trades Council|February|1998-03-10|1998-09-29|$300.00|REDUCED|$0.00|1998-10-19||
1094|Plumbers Local Union #16|January|1998-02-21|1998-09-30|$300.00|REDUCED|$0.00|1998-10-19||
1095|Plumbers Local Union #16|February|1998-03-10|1998-09-30|$300.00|REDUCED|$0.00|1998-10-19||
1096|Plumbers Local Union #16|April|1998-05-11|1998-09-30|$300.00|REDUCED|$0.00|1998-10-19||
1097|Plumbers Local Union #16|July|1998-08-10|1998-09-30|$300.00|REDUCED|$0.00|1998-10-19||
1098|Plumbers Local Union #16|August|1998-09-10|1998-09-30|$300.00|REDUCED|$0.00|1998-10-19||
1099|United Health Care of the Midlands, Inc.|April|1998-05-11|1998-09-30|$300.00|REDUCED|$0.00|1998-10-19||
1100|Universal Revenue Services, Inc.|April|1998-05-11|1998-10-02|$300.00|REDUCED|$0.00|1998-10-19||
1101|DLR Group Services|April|1998-05-11|1998-10-08|$300.00|PAID|||1998-10-05|
1102|Ameritas Life Insurance Corporation|August|1998-09-10|1998-10-07|$270.00|PAID|||1998-10-07|
1103|Columbus Education Association|September|1998-10-13|1998-10-15|$20.00|PAID|||1998-10-28|
1104|Rural/Metro Medical Services|February|1998-03-10|1998-10-05|$300.00|REDUCED|$0.00|1998-10-26||
1105|Rural/Metro Medical Services|March|1998-04-10|1998-10-05|$300.00|REDUCED|$0.00|1998-10-26||
1106|Keeler Raynor Hinz Architects, PC|April|1998-05-11|1998-10-09|$300.00|REDUCED|$0.00|1998-10-26||
1107|Aesthetic Surgical Images, PC|September|1996-10-10|1998-10-09|$300.00|REDUCED|$0.00|1998-10-26||
1108|Aesthetic Surgical Images, PC|February|1998-03-10|1998-10-09|$300.00|REDUCED|$0.00|1998-10-26||
1109|Aesthetic Surgical Images, PC|August|1998-09-10|1998-10-09|$290.00|REDUCED|$0.00|1998-10-26||
1110|Aesthetic Surgical Images, PC|June|1997-07-10|1998-10-09|$300.00|REDUCED|$0.00|1998-10-26||
1111|Aesthetic Surgical Images, PC|November|1997-12-10|1998-10-09|$300.00|REDUCED|$0.00|1998-10-26||
1112|Minatare Feedlot, Inc.|May|1998-06-10|1998-10-08|$300.00|REDUCED|$0.00|1998-10-26||
1283|Aon Risk Services, Inc. of Nebraska|September|1998-10-10|1999-02-11|$300.00|REDUCED|$0.00|1999-02-22||
1284|Lincoln, Mutual Life Insurance Company|October|1998-11-10|1999-02-08|$300.00|REDUCED|$0.00|1999-02-22||
1285|The Lund Company|October|1998-11-10|1999-02-08|$300.00|PAID|||1999-03-08|
1286|Rotella's Italian Bakery, Inc.|October|1998-11-10|1999-02-12|$300.00|REDUCED|$0.00|1999-02-22||
1287|Strictly Business Magazine|December|1999-01-11|1999-02-10|$300.00|REDUCED|$0.00|1999-02-22||
1288|W & J Carpenter, Inc.|October|1998-11-10|1999-02-11|$300.00|REDUCED|$0.00|1999-02-22||
1289|Blackman Business Services, Inc.|October|1998-11-10|1999-02-03|$300.00|REDUCED|$0.00|1999-02-03||
1290|Community Housing, Inc.|January|1999-02-10|1999-02-16|$60.00|REDUCED|$0.00|1999-04-08||
1291|Cornhusker Bank|October|1998-11-10|1999-02-16|$300.00|RED/PAID|$10.00|1999-03-15|1999-03-15|
1292|Ernst Auto Center|January|1999-02-10|1999-02-16|$60.00|REDUCED|$0.00|1999-03-09||
1293|First Nebraska Bank|January|1999-02-10|1999-02-18|$80.00|REDUCED|$0.00|1999-03-09||
1294|Gerhold Concrete Company, Inc.|January|1999-02-10|1999-02-17|$70.00|REDUCED|$0.00|1999-04-08||
1295|KVI Associates, Inc.|October|1998-11-10|1999-02-18|$300.00|PAID|||1999-05-03|
1297|Kurtenbach Law Office|January|1999-02-10|1999-02-19|$90.00|REDUCED|$0.00|1999-03-09||
1298|Lincoln Babe Ruth Baseball Association, Inc.|October|1998-11-10|1999-02-16|$300.00|REDUCED|$0.00|1999-03-02||
1299|MP Printing, Inc. d/b/a Ultra Graphics|January|1999-02-10|1999-02-17|$70.00|REDUCED|$0.00|1999-03-11||
1300|Micro Data, Inc.|January|1999-02-10|1999-02-17|$70.00|REDUCED|$0.00|1999-03-09||
1301|Midwest Glass Service, Inc.|January|1999-02-10|1999-02-16|$60.00|REDUCED|$0.00|1999-03-09||
1302|Missouri River Title Company, Inc.|February|1998-03-10|1999-02-16|$300.00|REDUCED|$0.00|1999-03-02||
1303|NE State AFL-CIO|January|1999-02-10|1999-02-16|$60.00|REDUCED|$0.00|1999-03-11||
1304|Pandorf Land & Cattle, Inc.|September|1998-10-10|1999-02-16|$300.00|REDUCED|$0.00|1999-03-02||
1305|Paxton & Vierling Steel Company|October|1998-11-10|1999-02-17|$300.00|PAID|||2000-04-26|
1306|Peoples Natural Gas|November|1998-12-10|1999-02-19|$300.00|RED/PAID|$100.00|1999-05-06|1999-05-06|
1307|Philip Morris U.S.A.|October|1998-11-10|1999-02-16|$300.00|PAID|||1999-02-16|
1308|Realty Team, Inc. d/b/a Century 21|January|1999-02-10|1999-02-16|$60.00|REDUCED|$0.00|1999-03-09||
1309|Sapp Brothers Petroleum, Inc.|November|1998-12-10|1999-02-18|$300.00|REDUCED|$0.00|1999-03-02||
1310|Sapp Brothers Truck Stops, Inc.|November|1998-12-10|1999-02-18|$300.00|REDUCED|$0.00|1999-03-02||
1311|Wayne State Education Association|November|1998-12-10|1999-02-17|$300.00|REDUCED|$0.00|1999-03-02||
1312|Rail Car Nebraska|October|1998-11-10|1999-02-24|$300.00|REDUCED|$10.00|1999-03-09|1999-03-09|
1313|Five Points Bank|August|1998-09-10|1999-02-26|$300.00|RED/PAID|$20.00|1999-04-01|1999-04-01|
1316|Wunderlich Friendly Bar, Inc.|January|1999-02-10|1999-02-26|$160.00|REDUCED|$0.00|1999-03-25||
1317|Asbestos Workers Local #39|October|1998-11-10|1999-03-03|$300.00|RED/PAID|$10.00|1999-03-30|1999-03-30|
1318|Wauneta Telephone Company, Inc.|September|1998-10-10|1999-03-04|$300.00|REDUCED|$0.00|1999-03-25||
1319|IBP, Inc.|November|1998-12-10|1999-03-01|$300.00|PAID|||1999-03-23|
1320|Corner Shop, Inc.|January|1999-02-10|1999-03-01|$190.00|REDUCED|$0.00|1999-03-25||
1321|Blum's Auto Repair, Inc.|January|1999-02-10|1999-03-05|$230.00|RED/PAID|$10.00|1999-04-20|1999-04-20|
1322|BWTelecom, Inc. (Benkelman Telephone)|September|1998-10-10|1999-03-04|$300.00|REDUCED|$0.00|1999-03-25||
1324|Quality Snapshots, Inc. d/b/a Camera Concepts|December|1999-01-10|1999-03-02|$300.00|REDUCED|$0.00|1999-03-16||
1325|Hartington Telecommunications Company, Inc.|September|1998-10-10|1999-03-05|$300.00|REDUCED|$0.00|1999-03-16||
1326|T.O. Haas Tire Company, Inc.|September|1998-10-10|1999-03-04|$300.00|RED/PAID|$20.00|||
1327|Ainsworth Education Association|September|1998-10-10|1999-03-01|$300.00|REDUCED|$0.00|1999-03-16||
1328|Clark J. Grant, P.C.|January|1999-02-10|1999-02-22|$120.00|REDUCED|$0.00|1999-03-09||
1329|Gene Lilly Surety Bonds|October|1998-11-10|1999-02-23|$300.00|REDUCED|$0.00|1999-03-09||
1330|Pete Becker, Inc.|September|1998-10-10|1999-02-22|$300.00|REDUCED|$0.00|1999-03-09||
1332|Omaha Police Union Local 101|February|1999-03-10|1999-03-12|$20.00|PAID|||1999-05-11|
1333|Midstates Construction Products, Inc.|April|1998-05-10|1999-03-11|$300.00|REDUCED|$0.00|1999-03-23||
1334|Herbert Development, Inc.|November|1998-12-10|1999-03-12|$300.00|REDUCED|$0.00|1999-03-23||
1335|Union Pacific Railroad|January|1999-03-10|1999-03-11|$10.00|REDUCED|$0.00|1999-03-23||
1336|Brotherhood of Locomotive Engineers PAC Fund|February|1999-03-10|1999-03-15|$50.00|REDUCED|$0.00|1999-04-08||
1337|Steamfitters Local Union 464 C.O.P.E. Fund|February|1999-03-10|1999-03-17|$70.00|PAID|||1999-04-14|
1338|American Communications Group, Inc.|February|1999-03-10|1999-03-11|$10.00|PAID|||1999-04-16|
1339|Hampton Development Services, Inc.|January|1998-02-10|1999-03-15|$300.00|REDUCED|$0.00|1999-03-31||
1340|Hampton Development Services, Inc.|March|1998-04-10|1999-03-15|$300.00|REDUCED|$0.00|1999-03-31||
1341|Hampton Development Services, Inc.|May|1998-06-10|1999-03-15|$300.00|REDUCED|$70.00|1999-03-31|1999-03-31|
1342|I A M A W Local Lodge 612|February|1999-03-10|1999-03-15|$50.00|REDUCED|$0.00|1999-03-25||
1343|Bennington Keno, Inc. d/b/a Keno Cabana|October|1998-11-10|1999-03-18|$300.00|REDUCED|$0.00|1999-03-25||
1344|T.O. Haas Tire Co., Inc.|September|1998-10-10|1999-03-04|$300.00|RED/PAID|$20.00|1999-03-25|1999-03-25|
1345|Architectural Partnership, P.C.|February|1999-03-10|1999-03-24|$140.00|REDUCED|$0.00|1999-04-13||
1346|Pfizer, Inc.|March|1998-04-10|1999-03-22|$300.00|RED/PAID|$10.00|1999-04-21|1999-04-21|
1347|Security Termite Inspections, Inc.|August|1998-09-10|1999-03-24|$300.00|Reduced|$0.00|1999-04-06||
1348|S & M, Inc.|February|1999-03-10|1999-03-26|$160.00|Reduced|$0.00|1999-04-06||
1349|MindVision, Inc.  d/b/a MindVision Software|January|1999-02-10|1999-03-24|$300.00|Reduced|$0.00|1999-04-06||
1350|Huscroft's Preffered Auto Body, Inc.|February|1998-03-10|1999-03-22|$300.00|Reduced|$0.00|1999-04-06||
1351|R. D. Hinkley & Associates, Inc.|September|1998-10-10|1999-03-23|$300.00|Reduced|$0.00|1999-04-06||
1352|Guns Unlimited, Inc.|July|1998-08-10|1999-03-22|$300.00|Reduced|$0.00|1999-04-06||
1353|Green Furnace & Plumbing Company, Inc.|February|1999-03-10|1999-03-25|$150.00|Reduced|$0.00|1999-04-06||
1354|Chances R, Inc.|October|1998-11-10|1999-03-26|$300.00|Reduced|$0.00|1999-04-06||
1355|Asbestos Removers, Inc.|January|1999-02-10|1999-03-22|$300.00|Reduced|$0.00|1999-04-06||
1357|Scotty's Drive In, Inc.|October|1998-11-10|1999-04-01|$300.00|REDUCED|$0.00|1999-04-15||
1358|Nebraska State Grange|September|1998-10-10|1999-04-01|$30.00|REDUCED|$0.00|1999-04-15||
1359|Journal Broadcasting Group, Inc.|October|1998-11-10|1999-04-02|$300.00|REDUCED|$0.00|1999-04-15||
1360|Fraternal Order of Police Lodge #36|October|1998-11-10|1999-03-29|$300.00|REDUCED|$0.00|1999-04-15||
1361|Farmers & Merchants Investment, Inc.|December|1999-01-10|1999-03-30|$300.00|REDUCED|$0.00|1999-04-15||
1362|Eakes, Inc.|April|1998-05-10|1999-03-31|$300.00|REDUCED|$0.00|1999-04-15||
1363|American Security Services|August|1999-04-12|1999-04-16|$40.00|REDUCED|$0.00|1999-04-26||
1366|Truck Services, Inc.|January|1999-04-12|1999-04-16|$40.00|REDUCED|$0.00|1999-05-11||
1368|Nebraska Retail Federation|February|1998-03-10|1999-04-12|$300.00|Reduced|$0.00|1999-05-12||
1369|Nebraska Retail Federation|March|1998-04-10|1999-04-12|$300.00|Reduced|$0.00|1999-05-12||
1370|Nebraska Retail Federation|September|1998-10-10|1999-04-12|$300.00|Reduced|$0.00|1999-05-12||
1371|Nebraska Retail Federation|December|1999-01-10|1999-04-12|$300.00|Reduced|$0.00|1999-05-12||
1372|Spence Title Services, Inc.|October|1998-11-10|1999-04-19|$300.00|RED/PAID|$10.00|1999-05-05|1999-05-05|
1373|Umberger Refuse, Inc.|March|1999-04-12|1999-04-20|$80.00|REDUCED|$0.00|1999-06-01||
1374|Huntel Systems, Inc.|August|1998-09-10|1999-04-13|$300.00|PAID|||1999-05-13|
1375|Nebraska Blueprint Company, Inc|November|1998-12-10|1999-05-03|$300.00|REDUCED|$0.00|1999-05-18||
1376|Ameritas Life Insurance|September|1998-10-13|1998-11-02|$200.00|REDUCED|$0.00|1999-05-25||
1377|Communications Workers of America Local 7470|February|1998-03-10|1999-04-06|$300.00|REDUCED|$0.00|1999-05-25||
1378|The Lund Company|November|1998-12-10|1999-06-01|$300.00|PAID|||1999-06-01|
1379|Seldin Company|April|1999-05-10|1999-05-19|$90.00|REDUCED|$0.00|1999-06-02||
1380|Omnium Worldwide, Inc.|August|1997-09-10|1999-05-17|$300.00|PAID|||1999-06-17|
1382|Strictly Business Magazine|April|1999-05-10|1999-05-17|$70.00|RED/PAID|$10.00|1999-06-18|1999-06-18|
1383|21st Century Financial Group|April|1998-05-10|1999-05-18|$300.00|REDUCED|$0.00|1999-09-13||
1384|Aliant Communications|March|1999-04-12|1999-05-17|$300.00|PAID|||1999-06-18|
1385|Aliant Communications|April|1999-05-10|1999-05-17|$70.00|PAID|||1999-06-18|
1386|Consolidated Sign Service|September|1997-10-10|1999-05-18|$300.00|RED/PAID|$10.00|1999-06-18|1999-06-15|
1387|Cummins Great Plains|August|1997-09-10|1999-05-19|$300.00|RED/PAID|$10.00|1999-06-18|1999-06-18|
1388|Development & Equity Services Corporation|September|1998-10-10|1999-05-19|$300.00|REDUCED|$0.00|1999-06-08||
1389|Eggers Consulting Company, Inc.|April|1999-05-10|1999-05-18|$80.00|REDUCED|$0.00|1999-06-09||
1390|Eggers Consulting Company, Inc.|April|1998-05-10|1999-05-18|$300.00|REDUCED|$0.00|1999-06-09||
1391|Lanoha Pacific Development, Inc.|September|1998-10-10|1999-05-20|$300.00|REDUCED|$0.00|1999-06-08||
1392|Lanoha Development, Inc.|September|1998-10-10|1999-05-20|$300.00|REDUCED|$0.00|1999-06-08||
1393|Omaha Neon Sign Company, Inc.|September|1997-10-10|1999-05-18|$300.00|REDUCED|$0.00|1999-06-08||
1394|Great Plains Communications|April|1999-05-10|1999-05-13|$30.00|PAID|||1999-06-18|
1396|United Retailers Liquor Association of Nebraska|April|1999-05-10|1999-05-11|$10.00|REDUCED|$0.00|1999-08-10||
1397|T.O. Haas Tire Company|March|1999-04-10|1999-05-18|$70.00|PAID|||1999-06-17|
1398|Birchwood Homes, Inc.|October|1996-11-10|1999-05-12|$300.00|REDUCED|$0.00|1999-06-09||
1399|Eggers Consulting Company, Inc.|April|1999-05-10|1999-05-18|$80.00|REDUCED|$0.00|1999-06-09||
1400|Eggers Consulting Company, Inc|April|1998-05-10|1999-05-18|$300.00|REDUCED|$0.00|1999-06-09||
1401|Soda Crackers, Inc.|May|1998-06-10|1999-05-11|$300.00|REDUCED|$0.00|1999-06-09||
1402|Soda1 Crackers, Inc.|October|1998-11-10|1999-05-11|$300.00|REDUCED|$0.00|1999-06-09||
1403|Jenny Foundation, The|January|1998-02-10|1999-05-12|$300.00|REDUCED|$0.00|1999-06-09||
1406|DLR Group Services|January|1998-05-10|1999-05-27|$300.00|PAID|||1999-06-30|
1407|Cinnamon Creek Land Corporation|March|1998-04-10|1999-05-28|$300.00|REDUCED|$0.00|1999-06-16||
1408|Americans for Sound Public Policy|April|1999-05-10|1999-05-26|$160.00|PAID|||1999-06-28|
1409|Sartor Hamann|April|1999-05-10|1999-06-02|$230.00|REDUCED|$0.00|1999-06-22||
1410|Prairie Home Builders, Inc.|January|1999-02-10|1999-06-10|$300.00|REDUCED|$0.00|1999-06-18||
1411|Prairie Hills Neighborhood Association|March|1999-04-12|1999-06-07|$300.00|REDUCED|$0.00|1999-06-18||
1412|John Markel, Inc.|April|1998-05-10|1999-06-11|$300.00|REDUCED|$0.00|1999-06-18||
1413|Carol Corp d/b/a Hillaero Modification Center|March|1999-04-12|1999-06-09|$300.00|REDUCED|$0.00|1999-06-18||
1414|Carol Corp d/b/a Hillaero Modification Center|April|1999-05-10|1999-06-09|$300.00|REDUCED|$0.00|1999-06-18||
1415|Applied Communications, Inc.|August|1997-09-10|1999-06-07|$300.00|REDUCED|$0.00|1999-06-18||
1416|Wilkinson Manufacturing Company|September|1998-10-10|1999-06-10|$300.00|RED/PAID|$10.00|1999-07-06|1999-07-06|
1417|Jensen Tire Company|April|1999-05-10|1999-06-07|$280.00|REDUCED|$0.00|1999-06-22||
1418|Management One|January|1999-02-10|1999-06-03|$300.00|REDUCED|$0.00|1999-06-16||
1419|Fulton Contruction|January|1999-02-10|1999-06-08|$300.00|REDUCED|$0.00|1999-06-22||
1420|Fulton Construction|March|1999-04-12|1999-06-08|$300.00|REDUCED|$0.00|1999-06-22||
1421|Fulton Construction|April|1999-05-10|1999-06-08|$290.00|REDUCED|$0.00|1999-06-22||
1422|Aliant Communications|April|1999-05-10|1999-05-14|$40.00|PAID|||1999-06-18|
1423|Perry Associates, Inc.|March|1999-04-12|1999-06-15|$300.00|REDUCED|$0.00|1999-06-29||
1424|Perry Associates, Inc.|April|1999-05-10|1999-06-15|$300.00|REDUCED|$0.00|1999-06-29||
1425|Ridge Development Company|March|1998-04-10|1999-04-07|$300.00|RED/PAID|$30.00|1999-07-14|1999-07-14|
1426|Kelley, Lehan & Hall, PC|January|1999-05-10|1999-05-11|$10.00|PAID|||1999-07-07|
1427|Precision Industries, Inc.|September|1997-10-10|1999-06-24|$300.00|REDUCED|$0.00|1999-07-06||
1428|Cubby's Inc.|September|1998-10-10|1999-06-22|$300.00|REDUCED|$0.00|1999-07-02||
1429|Barnhart Press|January|1999-02-10|1999-06-25|$300.00|PAID|$10.00|1999-07-21||
1430|C L Enterprises, Inc.|December|1999-01-10|1999-06-24|$300.00|REDUCED|$0.00|1999-08-10||
1431|Donald Young Safaris, Inc.|April|1999-05-10|1999-06-23|$300.00|REDUCED|$0.00|1999-08-10||
1432|Rail Car Nebraska|September|1998-09-10|1999-06-23|$300.00|REDUCED|$0.00|1999-03-09|1999-03-09|
1433|Bozell Worldwide|January|1998-02-10|1999-07-08|$300.00|PAID|||1999-08-18|
1434|McGregor Interests|December|1999-01-10|1999-06-29|$300.00|RED/PAID|$20.00|1999-08-18|1999-08-18|
1435|Barry Larson & Son, Inc.|December|1999-01-10|1999-06-29|$300.00|REDUCED|$0.00|1999-08-10||
1436|Bailey Lauerman & Associates|June|1999-07-12|1999-07-15|$30.00|REDUCED|$0.00|1999-08-10||
1437|Bailey Lauerman & Associates|May|1999-06-10|1999-07-15|$300.00|REDUCED|$0.00|1999-08-10||
1440|Caseyco, Inc.|April|1999-05-10|1999-07-20|$300.00|REDUCED|$0.00|1999-08-10||
