Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2002-01-28|2001-01-29|40300|C|DONATION TO NELSON INSTITUE AT NE COMMUN
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-12-31|132.26|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-11-30|114.49|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-10-31|117.96|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-09-29|113.84|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-08-31|117.29|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-07-31|116.94|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-06-30|112.86|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-05-31|116.28|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-04-28|112.21|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-03-31|116.34|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2000-02-29|109.36|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2001-01-31|2010-01-31|116.55|O|FIRST NATIONAL BANK, OMAHA              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2000-01-28|1999-03-22|109|C|TAX REFUND                              
BEN NELSON FOR GOVERNOR (DISSOLVED)|99CAC00290|2000-01-28|1999-12-31|1351.89|C|INTEREST EARNED                         
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|1998-01-30|1997-12-31|29.34|C|CORRECTION OF ERROR IN CHECKBOOK        
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|1998-01-30|1997-12-31|125|C|CHECK # 1035 TO MARIAN HIGH SCHOOL      
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|1998-01-30|1997-03-13|7101.75|C|REFUND FROM REDSTONE                    
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|1998-01-30|1997-02-25|883.35|C|REFUND FROM US WEST COMMUNICATION       
COMMITTEE TO ELECT THOMAS RILEY|99CAC00300|1998-01-30|1997-02-25|680.4|C|REFUND FROM REDSTONE                    
CITIZENS FOR ROBAK|99CAC00301|2012-01-30|2011-12-31|27237.05|A|value of investment
FRIENDS OF FLOYD VRTISKA|99CAC00304|2005-01-19|2004-07-13|4672.39|O|CASHED IN REMAINING CDS                 
FRIENDS OF FLOYD VRTISKA|99CAC00304|2004-01-22|2003-12-02|4642.28|C|ROLLED OVER 12 MONTH CD...              
FRIENDS OF FLOYD VRTISKA|99CAC00304|2003-01-14|2002-11-26|4500|C|REINVESTED PORTION OF CDS CASHED IN     
FRIENDS OF FLOYD VRTISKA|99CAC00304|2003-01-14|2002-11-26|5716.97|C|CASHED IN CD                            
FRIENDS OF FLOYD VRTISKA|99CAC00304|2003-01-14|2002-05-09|5512.3|C|CASHED IN CD                            
FRIENDS OF FLOYD VRTISKA|99CAC00304|2002-01-15|2001-11-28|333.87|C|INTEREST/MATURITY OF CD'S               
FRIENDS OF FLOYD VRTISKA|99CAC00304|2001-01-09|2000-11-28|15000|O|PURCHASE OF 3 CD'S AT STATE BANK OF TABL
FRIENDS OF FLOYD VRTISKA|99CAC00304|2000-05-02|2000-04-13|25|C|REIMBURSEMENT FROM SENATOR VRTISKA      
FRIENDS OF FLOYD VRTISKA|99CAC00304|2000-01-12|1999-08-09|50|O|FROSTY SPECIALTY ADVERTISING            
FRIENDS OF FLOYD VRTISKA|99CAC00304|2000-01-12|1999-09-22|765|O|SENATOR VRTISKA REIMBURSED FOOTBALL TICK
FRIENDS OF FLOYD VRTISKA|99CAC00304|1999-01-22|1998-06-18|45|C|REIMBURSEMENT FROM VRTISKA FOR MILEAGE  
WEBER FOR OPPD|99CAC00305|2008-01-03|2007-12-14|3|O|Online Software Banking fee
BOB WICKERSHAM FOR LEGISLATURE (DISSOLVED)|99CAC00307|2003-02-04|2003-01-30|9630.62|C|TRANSFER TO GAME & PARKS FOUNDATION     
BOB WICKERSHAM FOR LEGISLATURE (DISSOLVED)|99CAC00307|2002-01-25|2001-07-02|101.03|O|REFUND OF BAL ON MAIL ACCT, USPS        
BOB WICKERSHAM FOR LEGISLATURE (DISSOLVED)|99CAC00307|2001-01-05|2000-11-09|17|O|PARTIAL REFUND OR BOX RENT(CLOSED BOX)  
HARTNETT FOR LEGISLATURE|99CAC00311|2002-02-01|2001-02-28|500|C|CONTRIUBTION RETURN TO - RJ REYNOLDS CO.
HARTNETT FOR LEGISLATURE|99CAC00311|2002-02-01|2001-02-28|1000|C|CONTRIBUTION RETURN TO - LINDA FORD     
HASSETT FOR MUD COMMITTEE|99CAC00313|2001-01-12|2001-02-09|169.23|C|JOURNAL BROADCASTING CREDIT             
HASSETT FOR MUD COMMITTEE|99CAC00313|2001-01-12|2001-02-09|280.95|C|REFUND OF OVERCHARGE ON TV ADV.-CREDIT  
SOUTH OMAHANS FOR HILGERT (DISSOLVED)|99CAC00315|2003-03-12|2001-12-01|2813.6|C|U.S. POST OFFICE                        
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|1998-01-23|1997-10-30|949|C|NCPA REFUND OF CONTRIBUTIONS            
RAMON JANSSEN FOR STATE LEGISLATURE|99CAC00321|2002-01-22|2001-12-01|2090.89|C|TO RECONCILE CAMPAIGN STMT TO BANK STMNT
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION (DISS|99CAC00324|2000-10-06|2000-09-29|305|C|CANCELLED CK #58 TO DAVID LOEFFLER      
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION (DISS|99CAC00324|2000-10-06|2000-08-30|98.33|C|CANCELLED CK #75 TO DAVID LOEFFLER      
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION (DISS|99CAC00324|2000-06-16|2000-04-26|30.45|C|REFUND FOR ADVERTISING                  
LOWELL JOHNSON FOR PUBLIC SERVICE COMMISSION (DISS|99CAC00324|2000-04-26|2000-04-20|48.7|C|REFUND FOR ADVERTISING FROM MORNING SHOP
SCHIMEK FOR LEGISLATURE|99CAC00327|2010-01-29|2009-11-15|-100|A|ck to cornhusker hotel for leg reception
SCHIMEK FOR LEGISLATURE|99CAC00327|2010-01-29|2009-01-21|5.67|A|omaha world herald refund
SCHIMEK FOR LEGISLATURE|99CAC00327|2010-01-29|2009-01-03|-100|A|ck to john carlini-pianist for leg recep
SCHIMEK FOR LEGISLATURE|99CAC00327|2010-01-29|2009-12-08|50|A|check 1621 voided
SCHIMEK FOR LEGISLATURE|99CAC00327|2004-02-03|2003-12-31|3.86|C|CASH ERROR CORRECTION                   
SCHIMEK FOR LEGISLATURE|99CAC00327|2000-05-02|2000-04-19|200|O|200.00 DEPOSIT FOR RENT RETURNED        
SCHIMEK FOR LEGISLATURE|99CAC00327|2000-01-28|1999-12-31|.2|C|ERROR IN CASH                           
ROSEMARY SKRUPA FOR REGENT|99CAC00332|2000-06-15|2000-06-13|1000|C|$2000 CHECK NOT CASHED RETURNED FROM KFA
TAKECHI FOR REGISTER OF DEEDS (DISSOLVED)|99CAC00335|1998-02-02|1997-01-01|110.5|C|ADJUSTMENT TO BALANCE TO ACTUAL         
LEE TERRY FOR CITY COUNCIL|99CAC00337|2002-01-31|2001-12-31|36.88|O|INTEREST INCOME                         
LEE TERRY FOR CITY COUNCIL|99CAC00337|2001-01-30|2000-12-31|303.63|C|INT INCOME ENTERPRISE BANK OMAHA, NE    
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-12-10|26.91|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-11-10|28.19|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-10-08|23.92|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-09-10|24.84|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-08-11|16.06|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-07-22|8.75|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-07-09|22.22|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-06-11|22.2|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-05-14|27.12|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-04-09|20.71|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-03-12|21.23|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-02-12|27.09|C|INTEREST                                
LEE TERRY FOR CITY COUNCIL|99CAC00337|2000-02-01|1999-01-08|20.9|C|INTEREST                                
BOB TWISS FOR LEGISLATURE (DISSOLVED)|99CAC00339|2008-01-28|2007-12-31|47|A|transfer to bob twiss for oppd
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-12-01|100|O|Gene Carroll for Council Event 
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-05-02|98|O|Clare for Regent Event 
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-12-10|50|O|Gift of Acknowledgment Mark Hickson
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-09-07|250|O|Whitehouse for Regent Event
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-08-15|100|O|Ken Haar for Legislature Event
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-07-10|50|O|Lillie Larsen for State Bd. of Education
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-05-25|100|O|Ken Haar for Legislature Event 
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-12-10|50|O|Gift of Acknowledgement Annette Contrera
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-09-09|250|O|Mike Jones for Regent Event 
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-03-25|250|O|Mike Jones for Regent 
WILSON FOR REGENT|99CAC00342|2013-01-08|2012-02-17|250|O|Whitehouse for Regent Event 
WILSON FOR REGENT|99CAC00342|2007-01-09|2006-12-11|-100|A|GIFTS OF ACKNOWLEDGEMENT - 2 PEOPLE
WILSON FOR REGENT|99CAC00342|2006-01-04|2005-12-02|100|O|GIFTS OF ACKNOWLEDGEMENT 2 PEOPLE $50
WILSON FOR REGENT|99CAC00342|2006-01-04|2005-12-12|50|O|GIFT OF ACKNOWLEDGEMENT 1 PERSON $50
WILSON FOR REGENT|99CAC00342|2009-01-05|2008-12-16|100|O|Gifts of aknowledgement for 2 persons
WILSON FOR REGENT|99CAC00342|2009-01-05|2008-07-22|250|O|Clare for Regent fund raising event
WILSON FOR REGENT|99CAC00342|2008-01-04|2007-12-08|100|O|Gifts for acknowledgement -2 people
WILSON FOR REGENT|99CAC00342|2008-01-04|2007-12-08|50|O|Scudder for Regent fundraiser event 
WILSON FOR REGENT|99CAC00342|2010-01-12|2009-12-10|100|O|Gifts of acknowledgement for 2 persons
WILSON FOR REGENT|99CAC00342|2010-01-12|2009-11-14|250|O|Citizens for Beutler event 11/14/09
WILSON FOR REGENT|99CAC00342|2010-01-12|2009-10-08|100|O|Gene Carroll- City Council event 10/15
WILSON FOR REGENT|99CAC00342|2010-01-12|2009-10-05|100|O|Deb Schorr for Co. Comm event 10/13/09
WILSON FOR REGENT|99CAC00342|2010-01-12|2009-06-17|50|O|Jayne Snyder for City Council event 6/17
WILSON FOR REGENT|99CAC00342|2010-01-12|2009-04-15|50|O|Boswell for Lincoln School Board event 
WILSON FOR REGENT|99CAC00342|2010-01-12|2009-02-22|125|O|Ken Svoboda for Council event 3/12/09
WILSON FOR REGENT|99CAC00342|2011-01-05|2010-12-18|100|O|Gifts of acknowledgement for 2 persons
WILSON FOR REGENT|99CAC00342|2011-01-05|2010-10-18|100|O|Phares for regent event
WILSON FOR REGENT|99CAC00342|2011-01-05|2010-10-01|500|O|Citizens for Beutler event 11/10/10
WILSON FOR REGENT|99CAC00342|2011-01-05|2010-09-30|100|O|Avery for Legislature event 10/5/10
WILSON FOR REGENT|99CAC00342|2005-01-10|2004-12-09|150|C|REIMBURSE CANDIDATE FOR GIFT CERTIFICATS
WILSON FOR REGENT|99CAC00342|2005-01-10|2004-03-12|35|C|LUNCHEON FEE HONORING UNMC FACULTY PERSO
WILSON FOR REGENT|99CAC00342|2002-06-21|2002-04-24|100|C|REIMBURSEMENT FOR DESTROYED SIGNS       
FRIENDS OF KEN WINSTON|99CAC00343|2004-02-02|2003-03-31|30.7|C|CHECK WAS NOT CASHED, AMOUNT LATER CONTR
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2005-01-26|2005-01-21|0|C|                                        
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2005-01-26|2005-01-21|727.82|O|TRANSFER CASH BALANCE TO CAROLE WOODS CO
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2005-01-26|2005-01-21|100|O|DONATE TO LINKS FOUNDATION              
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2003-01-30|2003-01-01|30|C|BEGINNING BALANCE 2036 NOT 2066         
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2002-02-01|2002-01-30|3|C|TO RECONCILE W/  12/31/01 BANK BALANCE  
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2000-10-30|2000-10-23|27|C|                                        
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2000-10-30|2000-10-13|500|O|RETURNED DONATION FROM FRATERNAL ORDER O
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2000-06-20|2000-06-13|1|C|TO AGREE WITH CHECKING BALANCE          
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2000-05-02|2000-03-06|50|C|DEPOSIT DUPLICATED                      
COMMITTEE TO ELECT CAROLE WOODS HARRIS|99CAC00347|2000-01-14|2000-01-08|3|C|RECONCILE W/ CHECKBOOK BALANCE          
SALLY WYSONG FOR SCHOOL BOARD CAMPAIGN (DISSOLVED)|99CAC00348|1999-05-13|1999-05-11|449.41|O|DONATION TO THE LINCOLN PUBLIC SCHOOLS  
CITIZENS FOR NEBRASKA'S  FUTURE (DISSOLVED)|99BQC00004|2001-01-25|2000-11-17|1054.78|O|REFUND FOR US POSTAL SERVICE PERMIT #287
NEBRASKANS FOR TERM LIMITS (DISSOLVED)|99BQC00006|2000-06-30|2000-06-28|46.39|C|TO MATCH BANK STATEMENT                 
NEBRASKANS FOR TERM LIMITS (DISSOLVED)|99BQC00006|2000-06-30|1999-02-08|10|O|PAYMENT TO BRING BANK ACCOUNT CURRENT   
NEBRASKANS FOR TERM LIMITS (DISSOLVED)|99BQC00006|2000-06-30|1999-01-08|38.71|O|PAYMENT TO BRING BANK ACCOUNT CURRENT   
NEBRASKANS FOR TERM LIMITS (DISSOLVED)|99BQC00006|2000-06-30|1999-02-01|35|O|PAYMENT BY TREASURER FOR BANK FEES      
CLEAN ENVIRONMENT COMMITTEE (DISSOLVED)|99BQC00008|2000-02-08|1999-12-31|5.01|C|MATH MISTAKE                            
CLEAN ENVIRONMENT COMMITTEE (DISSOLVED)|99BQC00008|2000-01-28|1999-12-01|5.01|C|MATH MISTAKE                            
NEBRASKANS TO PROTECT OUR PHONE SERVICE (DISSOLVED|99BQC00009|2000-01-31|1999-04-14|1237.88|C|ADVERTISING REFUND FROM BAILEY LAUERMAN 
JOHNSON FOR MAYOR (DISSOLVED)|99CAC00002|2001-01-31|2000-01-25|150|C|ASAP PRINTING PMY ON INV# 1001          
JOHNSON FOR MAYOR (DISSOLVED)|99CAC00002|2001-01-31|2000-01-11|30|C|MEMBERSHIP TO LWCC                      
JOHNSON FOR MAYOR (DISSOLVED)|99CAC00002|2000-01-31|1999-12-31|1291.73|C|REFUNDS & EXPENDITURES LESS THAN $100   
JOHNSON FOR MAYOR (DISSOLVED)|99CAC00002|1999-06-14|1999-03-23|5050|C|ADJ. FOR ITEMS REPORTED IN 6/11/99 LETTE
JOHNSON FOR MAYOR (DISSOLVED)|99CAC00002|1999-03-08|1999-03-08|4701.34|C|CONTRIBUTIONS LESS THAT $100 AND MISCELL
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)(DISSOLVED)|99CAC00003|2011-06-14|2011-06-07|.32|A|reconcile to bank account
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|2002-01-30|2001-01-31|5|C|BANK SERVICE CHARGE                     
LILLIE LARSEN FOR SCHOOL BOARD|99CAC00005|2001-01-31|2000-12-31|10|C|BANK CHARGES FOR RETURN CK              
CITIZENS FOR WESELY|99CAC00006|2004-04-16|2003-12-31|1500|C|2002 CONTRIBUTIONS DEPOSITED IN 2003    
CITIZENS FOR WESELY|99CAC00006|2003-02-03|2002-12-31|1500|C|2002 CONTRIBUTIONS NOT DEPOSITED YET    
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|2006-01-24|2005-05-05|740.49|O|IN-KIND 13@52.89 AND 1@ 52.92
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|2007-03-14|2006-03-24|683.57|O|17 inkind contributions
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|2005-01-21|2004-12-17|37|O|AUCTION FOR BENIFIT OF NORTH LINCOLN VOT
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|2004-01-29|2003-07-14|25|O|AUCTION FOR BENEFIT OF NORTH LINCOLN VOT
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|2004-01-29|2003-09-12|250|O|AUCTION FOR BENEFIT OF NORTH LINCOLN VOT
NORTH LINCOLN VOTERS FOR LANDIS|99CAC00017|2000-01-31|1999-12-31|85|C|ADDED BACK CHECK #2795; NEVER CASHED    
BAKER FOR LEGISLATURE (DISSOLVED)|99CAC00025|2012-01-11|2011-02-01|279.65|A|refund for radio ads over payment
BAKER FOR LEGISLATURE (DISSOLVED)|99CAC00025|2012-01-11|2011-02-02|-112|A|nfib stop payment of check 100&12 bank
BAKER FOR LEGISLATURE (DISSOLVED)|99CAC00025|2006-01-30|2005-04-27|25|O|ROBERT OLSEN RETURN GIFT LIMIT
CITIZENS TO ELECT BLANKENSHIP FOR CLERK OF THE DIS|99CAC00031|2000-02-02|1999-10-01|112.5|C|OVERPAYMENT REFUND FROM OMAHA WORLD HERA
BOURNE FOR LEGISLATURE|99CAC00033|2002-06-24|1900-01-01|0|C|                                        
BRANDT FOR MAYOR (DISSOLVED)|99CAC00034|2006-01-13|2005-09-16|150|A|PURCHASE TICKETS JEFF DAVIS FOR SHERIFF
KERMIT BRASHEAR FOR LEGISLATURE|99CAC00035|2005-01-24|2004-05-19|97.58|O|REFUND FROM AT&T FOR PHONE SERVICES     
BRUEGGEMANN FOR SHERIFF|99CAC00037|2000-01-28|2000-01-25|46.87|C|POSTING ERROR                           
HAHN FOR STATE AUDITOR (DISSOLVED)|99CAC00043|1999-12-16|1999-02-28|120.5|O|RECEIVED FROM KFAB RADIO WHICH RESULTED 
JULIE HANEY FOR COUNTY TREASURER|99CAC00045|2008-01-17|2007-02-21|435|A|refund from redstone communications
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|2014-01-28|2013-12-31|10.84|A|2013 interest
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|2010-06-22|2010-06-15|25|A|check not deducted from 12/14/09
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|2010-01-28|2009-12-04|25|A|Check to Sec of State was not deducted
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|2005-01-11|2004-12-29|567.1|C|REIM. UNUSED WIRES FROM DESIGN 4        
COMMITTEE TO RE-ELECT THOMAS LYNAM SARPY COUNTY SU|99CAC00056|2002-04-15|2002-04-09|50|C|RELIEF LATE FEE PREVIOUSLY REPORTED     
MCFARLAND FOR GOVERNOR|99CAC00061|2000-05-01|1998-08-11|927|O|REFUND OF PHONE CHARGES - US WEST COMM. 
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|2015-01-30|2014-08-23|3302.1|A|media refund from redstone
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|2010-06-22|2010-06-10|225|A|return of late fee payment
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|2007-01-18|2006-12-23|668.77|O|refund of partial payment to redstone
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|2009-02-03|2008-08-09|100|O|rebate from at&t phones
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|2008-02-04|2007-02-26|34|A|refund from clear communications
PEOPLE FOR NOLTE COMMITTEE |99CAC00076|2008-01-17|2007-05-04|104.25|A|refund from time warner cable
THE PRICE IS RIGHT FOR LEGISLATURE (DISSOLVED)|99CAC00085|2010-02-09|2009-01-31|250|A|$250 campaign check from unclaims proper
ALFREDO RAMIREZ ELECTION COMMITTEE (DISSOLVED)|99CAC00087|2003-01-30|2003-01-29|137.79|O|DONATION TO NE COMMUNITY FOUNDATION     
REDFIELD FOR LEGISLATURE|99CAC00088|2008-01-29|2007-06-06|11736.98|O|cd matured transfered to checking acct
REDFIELD FOR LEGISLATURE|99CAC00088|2011-01-24|2010-01-03|950.16|A|interest on CD
REDFIELD FOR LEGISLATURE|99CAC00088|2006-01-05|2005-01-04|5246.55|A|CD CASHED TO DEPOSIT IN CAMPAIGN CHECKIN
REDFIELD FOR LEGISLATURE|99CAC00088|2002-01-14|2001-12-24|5815.19|C|CASHED CERTIFICATE OF DEPOSIT           
REDFIELD FOR LEGISLATURE|99CAC00088|2001-01-30|2000-10-16|1100|C|TRANSFER FROM CD TO CHECKING ACCT.      
REDFIELD FOR LEGISLATURE|99CAC00088|2000-01-28|1999-08-10|6500|C|TRANSFER TO CERTIFICATE OF DEPOSIT      
ROBAK FOR LEGISLATURE (DISSOLVED)|99CAC00090|2003-01-15|2002-10-20|47.25|C|REFUND LEIGH WORLD                      
ROBAK FOR LEGISLATURE (DISSOLVED)|99CAC00090|2003-01-15|2002-12-30|53.28|C|REFUND LINCOLN JOURNAL STAR             
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2007-01-30|2006-04-21|2370.15|O|Cashed Cornerstone Bank Certificate of D
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2005-01-31|2004-12-31|11.6|O|INTEREST ON CD                          
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2004-01-29|2003-12-31|12.96|O|INTEREST EARNED FOR '03 ON CD           
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2003-01-13|2002-10-25|5.77|O|INTEREST EARNED ON CD                   
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2002-10-07|2002-07-25|5.7|O|NTEREST CREDITED TO CD                  
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2002-10-07|2002-08-09|17.22|O|REFUND OF AD                            
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2002-10-07|2002-08-09|213|O|CHECK RETURNED                          
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2002-05-07|2002-04-24|6.41|C|INTEREST CREDITED TO CD                 
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2002-01-31|2001-12-31|-170.07|O|INTEREST CREDITED FOR CALENDAR YEAR ON C
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2002-01-31|2001-05-15|1000|O|DEPOSIT FUNDS - WITHDRAWAL FROM INVESTME
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2001-01-30|2000-12-31|238.64|O|INT EARNED ON INVEST CD-COMPOUNDED BACK 
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2001-01-30|2000-12-27|2000|O|TRANSFER DEP TO CK ACCT-WD FROM INVESTME
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|2000-01-31|1999-12-31|234.94|C|INTEREST COMPONDED ON CORNERSTONE BANK C
COMMITTEE FOR THE RE-ELECTION OF RUDY J. TESAR|99CAC00099|2005-02-01|2004-12-01|5|C|SERV. CHARGE AT BANK                    
COMMITTEE FOR THE RE-ELECTION OF RUDY J. TESAR|99CAC00099|2005-02-01|2004-11-01|5|C|SERV.CHARGE AT BANK                     
STEVE SCHERR FOR LEGISLATURE|99CAC00104|2005-01-10|2004-12-29|69|C|SOLD T- POST                            
STEVE SCHERR FOR LEGISLATURE|99CAC00104|2005-01-10|2004-12-29|325|C|SOLD COMPUTER AND PRINTER               
DON STENBERG FOR ATTORNEY GENERAL COMMITTEE(DISSOL|99CAC00113|2003-01-27|2002-12-31|179.32|C|RECONCILE BANK STATEMENT                
THOMPSON FOR LEGISLATURE|99CAC00117|2005-01-13|2004-03-24|25|O|SALE OF OLD YARD SIGNS                  
ELLEN TOTZKE FOR COUNTY ATTORNEY|99CAC00120|2000-07-17|2000-06-03|4831.83|O|RETURN OF CONTRIBUTED, BUT UPSPENT FUNDS
WAGNER FOR SHERIFF|99CAC00125|2014-06-18|2014-05-20|-900|O|HELD A JOINT PRIMARY ELECTION GATHERING WITH LANCASTER COUNTY TREASURER ANDY STEBBING. THIS 900 REIMBURSES ANDY FOR ONE HALF OF THE EXPENDITURES
WAGNER FOR SHERIFF|99CAC00125|2014-01-29|2013-10-24|-840|A|LANCASTER COUNTY TREASURER ANDY STEBBING AND I HAD A JOINT FUNDRAISER 2013-10-24. STEBBING PAID THE CATERER, MUSIC, TABLE RENTAL, ETC. THE 840 WAS PAID TO HIM FOR MY HALF OF THE COSTS. 
WAGNER FOR SHERIFF|99CAC00125|2010-01-29|2009-01-13|100|A|Professional Association Dues
WAGNER FOR SHERIFF|99CAC00125|2006-10-25|2006-08-16|50|A|REFUND OF LATE FILING FEES
WAGNER FOR SHERIFF|99CAC00125|2008-01-31|2007-12-04|100|A|liba membership dues
WAGNER FOR SHERIFF|99CAC00125|2010-01-29|2009-05-12|25|A|Political Event
WAGNER FOR SHERIFF|99CAC00125|2010-01-29|2009-02-17|35|A|Political Event
WAGNER FOR SHERIFF|99CAC00125|2007-01-17|2006-12-14|25|A|NADC LATE FILING PENALTY
WAGNER FOR SHERIFF|99CAC00125|2007-01-17|2006-11-21|95|A|DUES FOR LIBA FOR 2007
WAGNER FOR SHERIFF|99CAC00125|2004-02-02|2003-04-17|50|C|FUNDRAISER EVENT                        
WAGNER FOR SHERIFF|99CAC00125|2002-04-19|2002-03-17|50|O|KIRKLAND FOR DIST COURT CLERK FUNDRAISER
WAGNER FOR SHERIFF|99CAC00125|2002-04-19|2002-01-31|20|O|DENNID KEEFE FOR PUBLIC DEFENDER FUNDRAI
WAGNER FOR SHERIFF|99CAC00125|2002-04-19|2002-01-14|80|O|LIBA MEMBERSHIP DUES                    
